1'主裁判一声哨响，双方上半场的比赛开始了                   1'双方第1分钟均在传接球方面失误不断
39'阿姆拉巴特冲抢中推人犯规                   38'利物浦第38分钟错过机会，萨拉赫单刀突入禁区右肋捅射上角高出
50'阿姆拉巴特越位                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
50'主裁判一声哨响，上半场比赛结束                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
49'洛夫伦控球，转移到右侧                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
49'阿诺德低平球传球                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
49'萨拉赫把球停出了底线                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
49'戈麦斯大脚开球门球                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
49'费米尼亚传中，阿姆拉巴特头球攻门，被门将没收                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
50'马蒂普得球，转移到左侧洛夫伦的脚下，向前盘带                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
50'再分球到左侧给莫雷诺，后者的传中球被挡出边线                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
50'利物浦队界外球掷到场内，亨德森控球，转移到阿诺德                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
50'再回敲中路马蒂普的脚下，低平球的传球                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
50'亨德森得球，转移到左侧给马内                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
51'马内杀到禁区内，强行传中球出了底线                   48'利物浦3分钟连入2球反超，第55分钟，萨拉赫单刀突入禁区被戈麦斯出击扑倒，菲尔米诺点球低射左下角入网，2-2
94'沃特福德最后时刻也是非常拼滴                   94'沃特福德第94分钟扳平，里查尔利森角球混战中禁区右侧小角度传射被封挡，布里托斯近距离头球破门，3-3
94'阿姆拉巴特传中，理查利森把球扑出了底线                   94'沃特福德第94分钟扳平，里查尔利森角球混战中禁区右侧小角度传射被封挡，布里托斯近距离头球破门，3-3
94'马蒂普长传球过中线，球被对方得到                   94'沃特福德第94分钟扳平，里查尔利森角球混战中禁区右侧小角度传射被封挡，布里托斯近距离头球破门，3-3
95'米尔纳控球，再传球到禁区内                   94'沃特福德第94分钟扳平，里查尔利森角球混战中禁区右侧小角度传射被封挡，布里托斯近距离头球破门，3-3
95'维纳尔杜姆推射，球打在防守队员减速被门将没收                   94'沃特福德第94分钟扳平，里查尔利森角球混战中禁区右侧小角度传射被封挡，布里托斯近距离头球破门，3-3
95'补时也超了一分钟多了！                   94'沃特福德第94分钟扳平，里查尔利森角球混战中禁区右侧小角度传射被封挡，布里托斯近距离头球破门，3-3
95'莫雷诺长传球过中线                   94'沃特福德第94分钟扳平，里查尔利森角球混战中禁区右侧小角度传射被封挡，布里托斯近距离头球破门，3-3
96'主裁判终于吹响了全场比赛结束的哨声                   94'沃特福德第94分钟扳平，里查尔利森角球混战中禁区右侧小角度传射被封挡，布里托斯近距离头球破门，3-3
