59'界外球掷到场内，杨立瑜转移球给米克尔，再右路与阿奇姆彭做撞墙式的配合                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
92'米克尔分球转移到惠家康的脚下，再直塞球                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
92'买提江拿球，在范云龙的防守下球带出了底线                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
93'米克尔倒在地上！                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
93'被耶拉维奇给肘击到了面部！                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
94'杜威犯规，放倒了迪亚涅！                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
94'天津亿利队换人：王秋明上场换下了杨立瑜！                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
95'天津亿利前场控球，冲抢时李源一犯规了                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
95'贵州智诚队大脚开球过中线，球被对方顶下来                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
95'苏亚雷斯抢断，转移给耶拉维奇，再交到左侧                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
95'蒋亮传球被挡出来，贵州智诚队界外球！                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
88'阿奇姆彭盘带到前场，转移到杨立瑜的脚下                   88'第88分钟，天津泰达获得反击机会，小将杨立瑜突入禁区扣过防守队员后，左脚弧线球射门打入远角，天津泰达3-1领先
88'天津亿利队控制一下节奏！                   88'第88分钟，天津泰达获得反击机会，小将杨立瑜突入禁区扣过防守队员后，左脚弧线球射门打入远角，天津泰达3-1领先
88'米克尔分球转移到左侧，赵宏略分球到米克尔的脚下                   88'第88分钟，天津泰达获得反击机会，小将杨立瑜突入禁区扣过防守队员后，左脚弧线球射门打入远角，天津泰达3-1领先
88'米克尔斜传球                   88'第88分钟，天津泰达获得反击机会，小将杨立瑜突入禁区扣过防守队员后，左脚弧线球射门打入远角，天津泰达3-1领先
88'天津亿利队进球！！                   88'第88分钟，天津泰达获得反击机会，小将杨立瑜突入禁区扣过防守队员后，左脚弧线球射门打入远角，天津泰达3-1领先
88'杨立瑜进球！！世界波呀！！                   88'第88分钟，天津泰达获得反击机会，小将杨立瑜突入禁区扣过防守队员后，左脚弧线球射门打入远角，天津泰达3-1领先
90'米克尔斜传球到右侧，杨立瑜高速插上得球内切到禁区内，晃倒了唐鑫左脚劲射破门！                   88'第88分钟，天津泰达获得反击机会，小将杨立瑜突入禁区扣过防守队员后，左脚弧线球射门打入远角，天津泰达3-1领先
90'天津亿利队要换人：阿奇姆彭下场换上了李源一！                   88'第88分钟，天津泰达获得反击机会，小将杨立瑜突入禁区扣过防守队员后，左脚弧线球射门打入远角，天津泰达3-1领先
