10'曼朱基奇左路拿球回敲                   10'第10分钟，克拉默远射被封堵
20'拜仁将球转移到左路                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
20'里贝里斜传球送到禁区内，门兴先出一脚将球解围                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
21'德国国家队的教练班子也是来到了比赛现场                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
21'这场比赛也是吸引了众多人的关注                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
21'赫尔曼右路送直塞没有过去                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
22'施魏因斯泰格后场拿球被扎卡铲倒                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
22'主裁判也是口头警告了下扎卡                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
30'门兴差点进球啊                   30'第30分钟，赫尔曼右路传中，拉斐尔头球摆渡，M-克鲁泽左脚射门被诺尔化解
31'门兴传球送到禁区内，队友摆渡回来送到门前，推射被挡了出来                   30'第30分钟，赫尔曼右路传中，拉斐尔头球摆渡，M-克鲁泽左脚射门被诺尔化解
31'罗本禁区外围远射，球打高了                   30'第30分钟，赫尔曼右路传中，拉斐尔头球摆渡，M-克鲁泽左脚射门被诺尔化解
31'刚刚的球，诺伊尔是立功了                   30'第30分钟，赫尔曼右路传中，拉斐尔头球摆渡，M-克鲁泽左脚射门被诺尔化解
32'施魏因斯泰格前场争抢头球的时候犯规                   30'第30分钟，赫尔曼右路传中，拉斐尔头球摆渡，M-克鲁泽左脚射门被诺尔化解
33'扬奇克右路拿球跟队友做配合                   30'第30分钟，赫尔曼右路传中，拉斐尔头球摆渡，M-克鲁泽左脚射门被诺尔化解
33'门兴将球转移送到左路                   30'第30分钟，赫尔曼右路传中，拉斐尔头球摆渡，M-克鲁泽左脚射门被诺尔化解
33'底线附近下底传后点                   30'第30分钟，赫尔曼右路传中，拉斐尔头球摆渡，M-克鲁泽左脚射门被诺尔化解
40'里贝里前场中路带球后过掉两名防守球员送禁区内                   40'门兴第40分钟追回一分，阿朗戈左路低传，诺伊尔本可拿到球，但门兴旧将丹特回追抢前点解围捅进自家大门，1比2
40'罗本也是心里神会及时插上，但门线后卫还是先提前一步将球铲断                   40'门兴第40分钟追回一分，阿朗戈左路低传，诺伊尔本可拿到球，但门兴旧将丹特回追抢前点解围捅进自家大门，1比2
41'进球了！！                   40'门兴第40分钟追回一分，阿朗戈左路低传，诺伊尔本可拿到球，但门兴旧将丹特回追抢前点解围捅进自家大门，1比2
41'丹特的进球，不过是个乌龙！                   40'门兴第40分钟追回一分，阿朗戈左路低传，诺伊尔本可拿到球，但门兴旧将丹特回追抢前点解围捅进自家大门，1比2
42'门线前场送直塞，阿朗戈边路低平球送到禁区内，丹特回防一个滑铲将球打进自家球门！                   40'门兴第40分钟追回一分，阿朗戈左路低传，诺伊尔本可拿到球，但门兴旧将丹特回追抢前点解围捅进自家大门，1比2
42'里贝里中场拿球被克拉马拉倒                   40'门兴第40分钟追回一分，阿朗戈左路低传，诺伊尔本可拿到球，但门兴旧将丹特回追抢前点解围捅进自家大门，1比2
42'克拉马也是得到一张黄牌！                   40'门兴第40分钟追回一分，阿朗戈左路低传，诺伊尔本可拿到球，但门兴旧将丹特回追抢前点解围捅进自家大门，1比2
43'里贝里左路突破后下底                   40'门兴第40分钟追回一分，阿朗戈左路低传，诺伊尔本可拿到球，但门兴旧将丹特回追抢前点解围捅进自家大门，1比2
43'门兴在前点将球破坏出来                   40'门兴第40分钟追回一分，阿朗戈左路低传，诺伊尔本可拿到球，但门兴旧将丹特回追抢前点解围捅进自家大门，1比2
51'穆勒中场防守的时候拉人犯规                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
51'门兴前场传球出现失误                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
52'阿朗戈左路传球直接送出底线                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
52'拉姆右路拿球将球横向转移                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
53'阿拉巴禁区前沿低射被挡出底线                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
53'罗本角球送中路，球被门兴顶了出来                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
53'里贝里左路突破到底线，没有传，沿着底线走！                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
53'小角度打门被施特根封出                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
54'里贝里突破被斯特兰茨尔放倒                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
54'斯特兰茨尔得到一张黄牌！                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
54'斯特兰茨尔刚刚防守的时候出脚慢了                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
54'看看拜仁的任意球机会                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
54'三名球员站在球前                   51'下半时开始6分钟，克罗斯左路传中，罗本在门前13米处左脚半凌空推射被特尔施特根扑出
54'里贝里突破被斯特兰茨尔放倒                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
54'斯特兰茨尔得到一张黄牌！                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
54'斯特兰茨尔刚刚防守的时候出脚慢了                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
54'看看拜仁的任意球机会                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
54'三名球员站在球前                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
55'做了一个战术                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
55'施魏因斯泰格低平球送到禁区内，队友没接好啊                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
55'门兴长传打拜仁身后                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
55'丹特一个转身将球防了下来                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
56'多明戈斯中场送直塞打到前场                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
57'阿朗戈禁区外围劲射被诺伊尔侧身扑出                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
57'拜仁的反击来了                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
57'里贝里禁区内挑传                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
57'穆勒中路接球将球回做                   54'第54分钟，小猪传球，穆勒禁区内射门被特尔施特根化解
60'拜仁将球传到前场                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
60'拉姆底线附近回敲，穆勒跟上的打门被后卫挡出                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
60'球还在拜仁的脚下                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
60'劲射被门柱挡出！！                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
61'门兴前场拿球，禁区内的射门被自己球员挡了下来                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
61'拜仁也是发动快攻                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
61'罗本禁区内的射门又被后卫挡出底线                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
61'拜仁角球开出，落点不够理想                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
61'刚刚，拜仁击中立柱的射门来自克罗斯                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
62'里贝里换到右路来接球                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
63'禁区内传球被挡出底线                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
63'拜仁角球送后点，施特根出击将球得到                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
63'阿拉巴左路打门将球打高                   60'第60分钟，罗本右路回做，克罗斯在门前28米处推射击中右门柱
67'拉姆禁区前沿挑传送到禁区内                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
67'穆勒停球造成了多明戈斯的手球！                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
68'拜仁获得点球机会                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
68'这个球，一开始，主裁并没有吹，应该是看了边裁的示意才吹哨的                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
68'穆勒来主罚                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
68'穆勒点球被扑出去了！！                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
69'施特根单拳将球击出！！                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
69'施特根扑出点球后，罗本禁区内拿球又造成了多明戈斯的手球！                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
69'多明戈斯得到一张黄牌！                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
70'阿拉巴点球推左路球进，施特根这次判断错了方向！                   67'第67分钟，穆勒禁区内停球，球击中多明格斯身体再弹到他右手上，点球
75'拉斐尔左路拿球将球横敲                   75'第75分钟，M-克鲁泽传球，拉斐尔禁区左侧射门被阿拉巴挡出底线，M-克鲁泽右侧角球越过拜仁锋线，但克拉默后点准备不足，小角度打呲
75'禁区内，拉斐尔的打门又被挡了出来                   75'第75分钟，M-克鲁泽传球，拉斐尔禁区左侧射门被阿拉巴挡出底线，M-克鲁泽右侧角球越过拜仁锋线，但克拉默后点准备不足，小角度打呲
75'扬奇克右路下底被阿拉巴挡出底线                   75'第75分钟，M-克鲁泽传球，拉斐尔禁区左侧射门被阿拉巴挡出底线，M-克鲁泽右侧角球越过拜仁锋线，但克拉默后点准备不足，小角度打呲
76'角球送后点，插上的队友弹射打偏                   75'第75分钟，M-克鲁泽传球，拉斐尔禁区左侧射门被阿拉巴挡出底线，M-克鲁泽右侧角球越过拜仁锋线，但克拉默后点准备不足，小角度打呲
76'这球可惜了                   75'第75分钟，M-克鲁泽传球，拉斐尔禁区左侧射门被阿拉巴挡出底线，M-克鲁泽右侧角球越过拜仁锋线，但克拉默后点准备不足，小角度打呲
77'拜仁中场控球给到边路                   75'第75分钟，M-克鲁泽传球，拉斐尔禁区左侧射门被阿拉巴挡出底线，M-克鲁泽右侧角球越过拜仁锋线，但克拉默后点准备不足，小角度打呲
77'罗本接球的时候越位了                   75'第75分钟，M-克鲁泽传球，拉斐尔禁区左侧射门被阿拉巴挡出底线，M-克鲁泽右侧角球越过拜仁锋线，但克拉默后点准备不足，小角度打呲
78'拜仁再次换人，穆勒下，拉菲尼亚上！                   75'第75分钟，M-克鲁泽传球，拉斐尔禁区左侧射门被阿拉巴挡出底线，M-克鲁泽右侧角球越过拜仁锋线，但克拉默后点准备不足，小角度打呲
90'比赛已经临近尾声                   89'第89分钟，拉姆挑传禁区左侧，马丁内斯左脚凌空射门被扬奇克挡出底线
91'拜仁也是控制着场上的节奏                   89'第89分钟，拉姆挑传禁区左侧，马丁内斯左脚凌空射门被扬奇克挡出底线
91'下半场要补时2分钟                   89'第89分钟，拉姆挑传禁区左侧，马丁内斯左脚凌空射门被扬奇克挡出底线
91'门兴长传打到前场                   89'第89分钟，拉姆挑传禁区左侧，马丁内斯左脚凌空射门被扬奇克挡出底线
91'队友头球摆渡下来                   89'第89分钟，拉姆挑传禁区左侧，马丁内斯左脚凌空射门被扬奇克挡出底线
92'克鲁泽停球后到禁区内                   89'第89分钟，拉姆挑传禁区左侧，马丁内斯左脚凌空射门被扬奇克挡出底线
92'准备射门的时候被破坏了                   89'第89分钟，拉姆挑传禁区左侧，马丁内斯左脚凌空射门被扬奇克挡出底线
92'禁区外围，门兴的远射打高了                   89'第89分钟，拉姆挑传禁区左侧，马丁内斯左脚凌空射门被扬奇克挡出底线
