8'内马尔为巴塞罗那在左路,赢得一个任意球.                   8'开场8分钟，舍内放倒内马尔，被黄牌警告
41'Joël Veltman为阿贾克斯赢得一个任意球.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
41'巴塞罗那球员宋拼抢犯规,对手获得控球权.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
41'阿贾克斯球员范里金拼抢犯规,对手获得控球权.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
41'马斯切拉诺为巴塞罗那赢得一个任意球.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
41'射门!!!阿贾克斯球员费舍尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是克拉森.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
41'进球啦！！！阿贾克斯球员霍森大禁区中央左脚射门,球从右下角飞进球门,球进了! 阿贾克斯 2-0 巴塞罗那.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
43'阿贾克斯球员范里金拼抢犯规,对手获得控球权.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
43'内马尔为巴塞罗那赢得一个任意球.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
44'Joël Veltman为阿贾克斯赢得一个任意球.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
44'巴塞罗那球员内马尔拼抢犯规,对手获得控球权.                   41'阿贾克斯第41分钟扩大比分，菲舍尔在门前20米处大力抽射被平托扑出，胡森接连挑过皮克和普约尔，在在门前9米处左脚斜射入右下角，2比0
48'阿贾克斯球员Joël Veltman犯规,致使对方获得点球.                   48'下半时开始3分钟，范赖恩回传，内马尔禁区内被费尔特曼放倒，点球
48'点球,内马尔在禁区内被侵犯,巴塞罗那获得点球.                   48'下半时开始3分钟，范赖恩回传，内马尔禁区内被费尔特曼放倒，点球
48'裁判将阿贾克斯的Joël Veltman直接红牌罚下.                   48'下半时开始3分钟，范赖恩回传，内马尔禁区内被费尔特曼放倒，点球
49'进球啦！！！巴塞罗那球员哈维右脚射门,球从左下角飞进球门,球进了! 阿贾克斯 2-1 巴塞罗那.                   48'下半时开始3分钟，范赖恩回传，内马尔禁区内被费尔特曼放倒，点球
50'巴塞罗那球员法布雷加斯一脚直塞球给佩德罗,但是边裁举旗显示后者已经越位.                   48'下半时开始3分钟，范赖恩回传，内马尔禁区内被费尔特曼放倒，点球
51'阿贾克斯换人,邓斯维换下舍内                   48'下半时开始3分钟，范赖恩回传，内马尔禁区内被费尔特曼放倒，点球
51'克拉森为阿贾克斯在右路,赢得一个任意球.                   48'下半时开始3分钟，范赖恩回传，内马尔禁区内被费尔特曼放倒，点球
51'巴塞罗那球员伊涅斯塔拼抢犯规,对手获得控球权.                   48'下半时开始3分钟，范赖恩回传，内马尔禁区内被费尔特曼放倒，点球
53'巴塞罗那球员内马尔大禁区中央右脚射门,被防守球员封堵.给他传球的是哈维.                   53'第53分钟，哈维传球，内马尔禁区内倒钩踢中登斯威尔头部，引发双方球员冲突，内马尔被黄牌警告，第57分钟，伊涅斯塔直传，内马尔左脚推射被西莱森扑出底线
53'邓斯维为阿贾克斯赢得一个任意球.                   53'第53分钟，哈维传球，内马尔禁区内倒钩踢中登斯威尔头部，引发双方球员冲突，内马尔被黄牌警告，第57分钟，伊涅斯塔直传，内马尔左脚推射被西莱森扑出底线
53'巴塞罗那球员内马尔拼抢犯规,对手获得控球权.                   53'第53分钟，哈维传球，内马尔禁区内倒钩踢中登斯威尔头部，引发双方球员冲突，内马尔被黄牌警告，第57分钟，伊涅斯塔直传，内马尔左脚推射被西莱森扑出底线
53'黄牌！巴塞罗那球员内马尔因为恶意犯规,被主裁判出示黄牌.                   53'第53分钟，哈维传球，内马尔禁区内倒钩踢中登斯威尔头部，引发双方球员冲突，内马尔被黄牌警告，第57分钟，伊涅斯塔直传，内马尔左脚推射被西莱森扑出底线
54'阿贾克斯球员布林德拼抢犯规,对手获得控球权.                   53'第53分钟，哈维传球，内马尔禁区内倒钩踢中登斯威尔头部，引发双方球员冲突，内马尔被黄牌警告，第57分钟，伊涅斯塔直传，内马尔左脚推射被西莱森扑出底线
54'佩德罗为巴塞罗那赢得一个任意球.                   53'第53分钟，哈维传球，内马尔禁区内倒钩踢中登斯威尔头部，引发双方球员冲突，内马尔被黄牌警告，第57分钟，伊涅斯塔直传，内马尔左脚推射被西莱森扑出底线
55'莫伊桑德将球处理出底线,巴塞罗那获得角球.                   53'第53分钟，哈维传球，内马尔禁区内倒钩踢中登斯威尔头部，引发双方球员冲突，内马尔被黄牌警告，第57分钟，伊涅斯塔直传，内马尔左脚推射被西莱森扑出底线
68'瑟雷诺为阿贾克斯赢得一个任意球.                   68'第68分钟，蒙托亚对西塞罗犯规吃到黄牌
68'巴塞罗那球员拼抢犯规,对手获得控球权.                   68'第68分钟，蒙托亚对西塞罗犯规吃到黄牌
68'黄牌！巴塞罗那球员蒙托亚因为恶意犯规,被主裁判出示黄牌.                   68'第68分钟，蒙托亚对西塞罗犯规吃到黄牌
68'巴塞罗那换人,帕特里克换下普约尔                   68'第68分钟，蒙托亚对西塞罗犯规吃到黄牌
69'瑟雷诺为阿贾克斯在右路,赢得一个任意球.                   68'第68分钟，蒙托亚对西塞罗犯规吃到黄牌
69'巴塞罗那球员马斯切拉诺拼抢犯规,对手获得控球权.                   68'第68分钟，蒙托亚对西塞罗犯规吃到黄牌
