1'上半场比赛开始！！                   1'第1分钟恒大反客为主，对比赛形成主动控制
66'刘奕鸣赶紧大脚解围！！                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
66'这球高拉特门前只要蹭到，必进无疑啊                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
67'糜昊伦前场左路拿球，强突不成                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
67'回传王永珀，再给糜昊伦                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
68'斜塞找到切入的孙可                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
68'孙可拿球再突，郑智回防卡位                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
68'孙可身后再抢，犯规！！                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
68'恒大的球权！！                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
75'权健的反击，前场3打3                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'糜昊伦过顶找孙可                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'力量太大了，曾诚出击将球控制                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'维特塞尔前场右路拿球，传中球                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'被李学鹏挡出了边线！！                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'权景元界外球大力掷到禁区                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'第一点被恒大球员解围出来                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
76'孙可禁区外凌空抽射，再被挡了出来                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
76'郑智拿球，分球给到右侧于汉超                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
76'回传古德利，再给右侧上来的邓涵文                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
76'邓涵文再分于汉超                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
76'面对糜昊伦，踩单车内切                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
76'糜昊伦上抢，将球碰出了底线                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
76'恒大再次获得右侧角球                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
77'角球开出到前点，高拉特抢点犯规在先！！                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
77'孙可中场背身拿球，准备转身，被张琳芃掀翻在地                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
78'维特塞尔任意球直接长传到禁区                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
78'第一点被张琳芃解围出来                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
78'莫德斯特外围拿球，没能控制好                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
78'被回防的古德利解围！！                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'刘逸的左路传中到禁区                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'莫德斯特的头球摆渡，回防的于汉超将球解围出底线                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'权健获得了左侧角球机会                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'角球开出到禁区，第一点被解围出来                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'王永珀得球，禁区左侧起脚打门，打偏！                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
75'全场比赛75分钟，比分0-1，恒大领先！！！                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
76'于汉超左路拿球，底线强行内切                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
77'遭遇夹击，摔倒在地                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
77'球滚到门前，张鹭控制住                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
77'跑动距离上，权健还要多出恒大4KM左右                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
78'维特塞尔前场中路拿球，强突后分球左侧                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
78'糜昊伦插上拿球，横传禁区给孙可                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
78'孙可背身拿球，转身球没过去                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
78'只能回来控制一下，转身再传门前                   75'第75分钟，王永珀左侧低射稍稍打偏，莫德斯特门前倒地包抄时错过皮球线路
87'权健后场失误，恒大左路的反击                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
87'阿兰接应，王杰的上抢犯规！！                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
87'恒大获得了前场左路的任意球机会！！                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
88'于汉超任意球斜传到禁区                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
88'高拉特前点准备头球后蹭，被权健球员解围                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
89'赵旭日拿球，直塞身后找王永珀                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
89'传球力量太大，冯潇霆将球控制                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
90'莫德斯特前场左路拿球，内切回传糜昊伦                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
90'糜昊伦再给维特塞尔，内切被破坏                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
87'权健前场进攻，赢得中路的任意球机会                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
87'王永珀任意球搓传到禁区，被解围                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
87'恒大的反击，前场3打4                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
87'于汉超拿球，带至前场右路                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
87'内切传中到远端                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
87'古德利插上，胸部停球                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
88'再趟进禁区，力量有点大                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
88'张鹭出击，抢先将球拿到！！                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
88'恒大错失了锁定胜局的时刻！！                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
88'目前的射门：权健12次射门，2次射正；恒大7次射门，1次射正！                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
89'恒大换人：17号杨立瑜上，换下了20号于汉超                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
89'杨立瑜前场右路拿球                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
89'面对刘逸，带球强突                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
90'禁区外右脚的传中球，没能包住，直接出了底线！                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
90'王永珀前场左路拿球，回传刘逸                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
90'内切回传刘奕鸣                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
90'刘逸被拉倒在地                   87'第87分钟，高拉特后场抢断为恒大赢得快攻机会，于汉超右路突进后传中，中路跟进的古德利胸部停球停大，被门将拦截
50'强突到禁区，起脚打门                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
50'回防的王杰倒地将球挡出                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
51'王永珀前场右路拿球，强突后传中到禁区                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
51'第一点被张琳芃头球解围出来                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
51'恒大的反击，郑智中场拿球                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
51'阿兰面对刘奕鸣的防守，直接一拐将刘奕鸣打翻在地                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
52'阿兰被主裁判直接出示了红牌，罚出场外！！                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
52'这个动作不应该，估计还会被追罚！！                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
53'刘奕鸣受伤倒地，张诚这边也是有些受伤                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
53'张诚一瘸一拐，担架进场，抬出场外                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
53'权健换人：16号郑达伦上，换下了受伤的18号张诚！！                   50'进入5分钟补时阶段，古德利后场处理球时手球犯规，郑智被判定拖延时间，领到黄牌
52'阿兰被主裁判直接出示了红牌，罚出场外！！                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
52'这个动作不应该，估计还会被追罚！！                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
53'刘奕鸣受伤倒地，张诚这边也是有些受伤                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
53'张诚一瘸一拐，担架进场，抬出场外                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
53'权健换人：16号郑达伦上，换下了受伤的18号张诚！！                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
54'郜林前场右路拿球，带至角旗附近                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
54'糜昊伦和权景元的逼抢，球出边线                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
54'边裁给了恒大前场右路的界外球！！                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
54'恒大前场右路进攻，赢得角球机会！！！                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
55'古德利主罚，开出到后点，被权健球员解围                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
55'恒大进球了！！                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
55'郜林！！                   52'因邓涵文受伤倒地，补时延续至第7分钟，身处前场的杨立瑜被判定阻挡权健任意球，也领到黄牌
