3'阿什利-扬后场右侧防守犯规！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
43'切尔西开球给后场吕迪格！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
43'长传球给前场左侧阿哈尔！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
43'阿扎尔！回给身后吕迪格！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
43'吕迪格外围右脚爆射！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
43'德赫亚把球扑下来！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
43'马科斯-阿隆索跟进打门！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
44'皮球击中右侧立柱！！！弹进曼联大门！！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
44'GOOOOOOOOOOOOOAL！！！！1-1!!!                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
44'德赫亚脱手的意外！马科斯-阿隆索补射破门！切尔西1-1扳平曼联！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
45'继续看比赛！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
45'拉什福德右路带球推进过来！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
45'突破下底传中！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'门前左侧马塔跟进抢点！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'皮球被解围出左侧底线！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'曼联的左侧角球！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'上半场补时2分钟！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'角球开到禁区内后点！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'拜利倒钩打门！！皮球偏出左侧底线！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'下半场比赛开始！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'切尔西开球！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'开球回给大卫-路易斯！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
46'长传球给前场右侧！                   43'切尔西第43分钟扳平，吕迪格远射被德赫亚勉强扑出，阿隆索小禁区左侧补射击中右侧立柱内侧入网，1-1
65'科瓦契奇把球拦截！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
65'科瓦契奇长传球给前场右侧威廉！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
65'回传一下后场大卫-路易斯！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
65'大卫-路易斯把球踢出边线，随后坐地不起，似乎自己受伤了！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
66'切尔西换人，27-克里斯滕森换下了受伤的2-吕迪格                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
66'曼联也换人，7-桑切斯换下10-拉什福德                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
67'切尔西开球给左侧马科斯-阿隆索！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
67'回给身后大卫-路易斯！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
67'长传球给前场左侧！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
67'马科斯-阿隆索头球顶到！给阿扎尔！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
67'阿扎尔回给中路科瓦契奇！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
67'科瓦契奇的分球给禁区右侧伊瓜因！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
68'禁区内切打门！皮球被挡出来！                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
68'拜利这边也倒地不起了。                   65'场面陷入僵局，切尔西第65分钟遭遇打击，吕迪格受伤被克里斯滕森换下
53'马塔中路带球遭到威廉铲倒！威廉被罚黄牌！                   52'伤停补时长达7分钟
53'曼联开球给前场左侧！                   52'伤停补时长达7分钟
53'皮球被挡出边线！                   52'伤停补时长达7分钟
53'曼联边线发球给埃雷拉！                   52'伤停补时长达7分钟
54'埃雷拉得球被科瓦契奇放倒！科瓦契奇也被罚一张黄牌！                   52'伤停补时长达7分钟
55'门将开球到中圈！                   52'伤停补时长达7分钟
55'林德洛夫把球抢到！                   52'伤停补时长达7分钟
55'回给后场林德洛夫！                   52'伤停补时长达7分钟
55'分球给中场左侧马蒂奇！                   52'伤停补时长达7分钟
55'斜传球给身前博格巴！                   52'伤停补时长达7分钟
55'长传球给左侧传出了边线！                   52'伤停补时长达7分钟
98'回传一下中场的若日尼奥！                   98'切尔西第98分钟险些绝杀，佩德罗送出直传，伊瓜因小禁区右侧的单刀射门被德赫亚出击挡出
98'球权挑传给禁区右侧伊瓜因！                   98'切尔西第98分钟险些绝杀，佩德罗送出直传，伊瓜因小禁区右侧的单刀射门被德赫亚出击挡出
98'皮球被德赫亚挡出右侧底线！                   98'切尔西第98分钟险些绝杀，佩德罗送出直传，伊瓜因小禁区右侧的单刀射门被德赫亚出击挡出
98'切尔西的右侧角球！                   98'切尔西第98分钟险些绝杀，佩德罗送出直传，伊瓜因小禁区右侧的单刀射门被德赫亚出击挡出
98'开战术角球给佩德罗！                   98'切尔西第98分钟险些绝杀，佩德罗送出直传，伊瓜因小禁区右侧的单刀射门被德赫亚出击挡出
