1'上半场比赛开始！                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
27'郑智直塞                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
27'恒大再入一球！！！                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
27'郜林！！！                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
27'郑智直塞找到肋部插上的郜林，进禁区抽射远角破门！                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
27'永昌0-2落后恒大！                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
28'恒大中场再做拦截，保利尼奥拿球                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
29'阿兰分右路，郜林挑传被顶出                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
29'外围保利尼奥上来                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
29'恒大又进一个！                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
29'保利尼奥！！！                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
29'恒大禁区内连续冲击，郜林传中，保利尼奥插上用身体把球撞进了球门                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
29'永昌0-3落后恒大                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
30'用户6016135955 ：打疯了                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
30'毛里西奥接应长传，转身没能拿到                   27'第27分钟，恒大将比分扩大：郑智带球连续摆脱后斜传左路，郜林进入禁区后大力斜射攻破球门后角
46'后场玩火，许博被黄牌警告                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
46'上半场补时2分钟                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
46'高拉特点球骗过门将，一蹴而就！                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
46'永昌0-5落后恒大！                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
47'手机用户1780533435：直接惨案                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
48'李提香左路拿球被回防的郜林破坏                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
48'毛里西奥左路拿球横敲被拦截                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
48'上半场比赛结束！                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
46'下半场比赛开始！                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
46'永昌中圈开球                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
47'保利尼奥中场拿球趟大了                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
47'门迪前场分球，没有过掉拦截                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
47'阿兰前场插上，越位了                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
48'高拉特进禁区，被关门                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
49'毛里西奥左路内切一步，被补防断球                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
49'门迪禁区前拿球直塞，黄博文回防解围                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
49'毛里西奥左路拿到一个角球机会                   46'永昌压力明显提升，出现了连续解围却无法拦截恒大持续进攻的情况，恒大在1分钟后再次入球：郜林于禁区右侧横传门前，积极包抄的保利尼奥用身体将球撞入球门
38'张琳芃右路内切被绊倒，任意球                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
38'Qb_L ：永昌已经放弃了                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
39'恒大又进球了！！                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
39'高拉特！                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
39'高拉特任意球一拨，黄博文一踩，高拉特跟上爆射入死角                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
39'永昌0-4落后恒大！                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
40'许博中场拦截犯规                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
40'马修斯对判罚不满，被黄牌警告                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
41'恒大前场连续配合，比较写意                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
41'阿兰接应直塞，趟大了                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
41'关震出击把球没收                   38'第38分钟，恒大再度入球：张琳芃右路内切赢得射程内任意球，高拉特与黄博文采取一拨一射的配合，高拉特打出快速弧线将皮球送入球门
45'恒大反击，高拉特被包夹，丢了                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
45'许博后场处理球被断                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
45'阿兰单刀了                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
45'许博禁区内身后拉倒了阿兰，点球！                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
46'后场玩火，许博被黄牌警告                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
46'上半场补时2分钟                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
46'高拉特点球骗过门将，一蹴而就！                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
46'永昌0-5落后恒大！                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
47'手机用户1780533435：直接惨案                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
48'李提香左路拿球被回防的郜林破坏                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
48'毛里西奥左路拿球横敲被拦截                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
48'上半场比赛结束！                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
46'下半场比赛开始！                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
46'永昌中圈开球                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
47'保利尼奥中场拿球趟大了                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
47'门迪前场分球，没有过掉拦截                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
47'阿兰前场插上，越位了                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
48'高拉特进禁区，被关门                   45'第45分钟，许博在后场被抢断，阿兰带球突入禁区后许博回追中拉拽犯规，谭海判定点球并向许博出示黄牌；高拉特操刀点球稳健破门，将半场比分定格为5-0
60'郑龙禁区前斜传                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
60'恒大又进了！！                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
60'阿兰！！                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
60'郑龙禁区前斜传后门柱，阿兰插上反越位推射破门！                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
60'永昌0-6落后恒大                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
61'门迪右路底线前强行传中，角球                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
61'角球到前点被头球解围                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
62'胡伟右路传中稍小被封堵，再传拿到角球机会                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
63'角球落点不错，门迪头球顶在后卫头上高出横梁，还是角球                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
63'角球被郜林顶出去                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
63'外围李春郁拼抢犯规                   60'恒大的控制效果虽较上半场下降，但仍在第60分钟取得入球：郑龙右侧斜传门前，永昌造越位失误且许博解围踢空，后插上的阿兰在小禁区线前包抄破门
77'张琳芃右路拿球，直塞没过去                   77'第77分钟，恒大反击中高拉特横敲郑龙，郑龙禁区左侧攻门被出击的关震封出
77'高拉特禁区前拿球，没停好，手球了                   77'第77分钟，恒大反击中高拉特横敲郑龙，郑龙禁区左侧攻门被出击的关震封出
78'永昌长传，前场没有人                   77'第77分钟，恒大反击中高拉特横敲郑龙，郑龙禁区左侧攻门被出击的关震封出
79'郑龙禁区前远射被关震扑出                   77'第77分钟，恒大反击中高拉特横敲郑龙，郑龙禁区左侧攻门被出击的关震封出
79'高拉特想补射被姜积弘先解围，角球                   77'第77分钟，恒大反击中高拉特横敲郑龙，郑龙禁区左侧攻门被出击的关震封出
80'战术角球开出，外围恒大控制                   77'第77分钟，恒大反击中高拉特横敲郑龙，郑龙禁区左侧攻门被出击的关震封出
88'马修斯右路拼抢，拼到一个角球                   88'第88分钟，永昌在角球攻势中形成了此战最好的得分机会，但门迪在无人贴防的情况下将球踢偏
88'角球开出，毛里西奥右路横传，门迪无人防守                   88'第88分钟，永昌在角球攻势中形成了此战最好的得分机会，但门迪在无人贴防的情况下将球踢偏
88'门前的推射飞了！                   88'第88分钟，永昌在角球攻势中形成了此战最好的得分机会，但门迪在无人贴防的情况下将球踢偏
89'张文钊右侧肋部拿球转身，低射被关震扑住                   88'第88分钟，永昌在角球攻势中形成了此战最好的得分机会，但门迪在无人贴防的情况下将球踢偏
90'张琳芃外围射一脚，打偏                   88'第88分钟，永昌在角球攻势中形成了此战最好的得分机会，但门迪在无人贴防的情况下将球踢偏
91'下半场补时2分钟                   88'第88分钟，永昌在角球攻势中形成了此战最好的得分机会，但门迪在无人贴防的情况下将球踢偏
91'胡伟右路起球，高度不够                   88'第88分钟，永昌在角球攻势中形成了此战最好的得分机会，但门迪在无人贴防的情况下将球踢偏
