22'鲁能泰山队进球啦！！吉尔！1-0                   22'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球传中，吉尔头球破门
42'这谁啊？刘军帅，起球到禁区！                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
42'直接高出横梁                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
55'角球发到禁区内前点！张驰头球后顶！皮球应声入网！                   55'第55分钟，吴兴涵送出助攻，佩莱铲射破门
56'假如！只是假如，鲁能泰山队客场足协杯打上海申花队时能打出这样的比分！将进四强！                   55'第55分钟，吴兴涵送出助攻，佩莱铲射破门
56'上海申花队左路攻到前场，对方犯规                   55'第55分钟，吴兴涵送出助攻，佩莱铲射破门
56'任意球发到禁区内！朱建荣抢点打门1必进之球！打高啦！                   55'第55分钟，吴兴涵送出助攻，佩莱铲射破门
57'中后场鲁能泰山队得球长传，直接出边线                   55'第55分钟，吴兴涵送出助攻，佩莱铲射破门
48'鲁能泰山队左路传中                   47'第2分钟，山东鲁能角球进攻制造混乱，戴琳禁区内横向带球被对手撞倒，但主裁判并未判罚点球
48'对方解围不远                   47'第2分钟，山东鲁能角球进攻制造混乱，戴琳禁区内横向带球被对手撞倒，但主裁判并未判罚点球
49'吴兴涵左路再传球，对方破坏出来                   47'第2分钟，山东鲁能角球进攻制造混乱，戴琳禁区内横向带球被对手撞倒，但主裁判并未判罚点球
49'鲁能泰山队左路传球，蒿俊闵再传，刘彬彬抢点打门！被门将没收                   47'第2分钟，山东鲁能角球进攻制造混乱，戴琳禁区内横向带球被对手撞倒，但主裁判并未判罚点球
49'蒿俊闵太无私了                   47'第2分钟，山东鲁能角球进攻制造混乱，戴琳禁区内横向带球被对手撞倒，但主裁判并未判罚点球
50'刘军帅在前场抢球犯规                   47'第2分钟，山东鲁能角球进攻制造混乱，戴琳禁区内横向带球被对手撞倒，但主裁判并未判罚点球
50'上海申花队左路攻到前场，强突没能成功                   47'第2分钟，山东鲁能角球进攻制造混乱，戴琳禁区内横向带球被对手撞倒，但主裁判并未判罚点球
59'上海申花队左路长传进攻，球出边线                   59'第14分钟，吴兴涵边路带球反击送出妙传，西塞中路停球失误，张弛后点跟进推射，球被栗鹏在门线前头球解围
60'佩莱接球！被放倒                   59'第14分钟，吴兴涵边路带球反击送出妙传，西塞中路停球失误，张弛后点跟进推射，球被栗鹏在门线前头球解围
64'也别打得对方太难看了！                   64'第19分钟，山东鲁能获得反击机会，但是西塞禁区外远射角度太正，球被邱盛炯倒地没收
65'今天的比分并不反映双方的真实水平                   64'第19分钟，山东鲁能获得反击机会，但是西塞禁区外远射角度太正，球被邱盛炯倒地没收
66'上海申花队逼得前场任意球机会                   64'第19分钟，山东鲁能获得反击机会，但是西塞禁区外远射角度太正，球被邱盛炯倒地没收
66'吕征罚任意球直接打门！！！！打在戴琳头上高出！                   64'第19分钟，山东鲁能获得反击机会，但是西塞禁区外远射角度太正，球被邱盛炯倒地没收
67'刘军帅右路强突被放倒                   64'第19分钟，山东鲁能获得反击机会，但是西塞禁区外远射角度太正，球被邱盛炯倒地没收
67'对于鲁能泰山队来说，大比分领先，可以放一下！                   64'第19分钟，山东鲁能获得反击机会，但是西塞禁区外远射角度太正，球被邱盛炯倒地没收
67'刘军帅右路强突被放倒                   67'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球弧线球传中，吉尔后点头球攻门得手，山东鲁能1-0领先
67'对于鲁能泰山队来说，大比分领先，可以放一下！                   67'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球弧线球传中，吉尔后点头球攻门得手，山东鲁能1-0领先
68'鲁能泰山队右路进攻，对方破坏出边线                   67'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球弧线球传中，吉尔后点头球攻门得手，山东鲁能1-0领先
68'界外球发出来，鲁能泰山队挑传禁区！被对方破坏                   67'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球弧线球传中，吉尔后点头球攻门得手，山东鲁能1-0领先
68'差不多就得了！多进无益，上海申花队心不在眼                   67'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球弧线球传中，吉尔后点头球攻门得手，山东鲁能1-0领先
69'蒿俊闵接球！丛震铲球动作过大！                   67'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球弧线球传中，吉尔后点头球攻门得手，山东鲁能1-0领先
70'主裁判给丛震出示了黄牌！两黄变红！被罚下！                   67'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球弧线球传中，吉尔后点头球攻门得手，山东鲁能1-0领先
79'鲁能泰山队换人，郑铮被换下场，换上刘洋                   79'第34分钟，山东鲁能扩大比分，佩莱中路拿球分向边路，刘彬彬突破后弧线球传到禁区，西塞抢点推射破门，山东鲁能2-0领先
79'就是让郑铮休息一下                   79'第34分钟，山东鲁能扩大比分，佩莱中路拿球分向边路，刘彬彬突破后弧线球传到禁区，西塞抢点推射破门，山东鲁能2-0领先
80'结果应该没有什么问题了！                   79'第34分钟，山东鲁能扩大比分，佩莱中路拿球分向边路，刘彬彬突破后弧线球传到禁区，西塞抢点推射破门，山东鲁能2-0领先
80'现在是补水时间！                   79'第34分钟，山东鲁能扩大比分，佩莱中路拿球分向边路，刘彬彬突破后弧线球传到禁区，西塞抢点推射破门，山东鲁能2-0领先
81'比赛继续                   79'第34分钟，山东鲁能扩大比分，佩莱中路拿球分向边路，刘彬彬突破后弧线球传到禁区，西塞抢点推射破门，山东鲁能2-0领先
82'上海申花队左攻珐前场！张驰抢球出界                   79'第34分钟，山东鲁能扩大比分，佩莱中路拿球分向边路，刘彬彬突破后弧线球传到禁区，西塞抢点推射破门，山东鲁能2-0领先
82'吕征发任意球到禁区内，被顶了出来                   79'第34分钟，山东鲁能扩大比分，佩莱中路拿球分向边路，刘彬彬突破后弧线球传到禁区，西塞抢点推射破门，山东鲁能2-0领先
84'比赛已经接近尾声！                   84'第39分钟，山东鲁能再次破门，蒿俊闵角球传中，佩莱小禁区前点头球后蹭，邱盛炯虽然做出扑救，但球打在横梁内侧弹入球门
84'鲁能泰山队要多换下几个人去休息                   84'第39分钟，山东鲁能再次破门，蒿俊闵角球传中，佩莱小禁区前点头球后蹭，邱盛炯虽然做出扑救，但球打在横梁内侧弹入球门
84'由于少一人！上海申花队再去加强进攻也不现实                   84'第39分钟，山东鲁能再次破门，蒿俊闵角球传中，佩莱小禁区前点头球后蹭，邱盛炯虽然做出扑救，但球打在横梁内侧弹入球门
86'鲁能泰山队左路传后点，跟上队员打门偏出                   84'第39分钟，山东鲁能再次破门，蒿俊闵角球传中，佩莱小禁区前点头球后蹭，邱盛炯虽然做出扑救，但球打在横梁内侧弹入球门
86'鲁能泰山队换人：周海滨上场，换下刘军帅                   84'第39分钟，山东鲁能再次破门，蒿俊闵角球传中，佩莱小禁区前点头球后蹭，邱盛炯虽然做出扑救，但球打在横梁内侧弹入球门
86'让海滨上场适应一下                   84'第39分钟，山东鲁能再次破门，蒿俊闵角球传中，佩莱小禁区前点头球后蹭，邱盛炯虽然做出扑救，但球打在横梁内侧弹入球门
87'西塞左路突破到禁区内，打门！出底线                   84'第39分钟，山东鲁能再次破门，蒿俊闵角球传中，佩莱小禁区前点头球后蹭，邱盛炯虽然做出扑救，但球打在横梁内侧弹入球门
87'看上去鲁能泰山队打得也没有什么激情了                   84'第39分钟，山东鲁能再次破门，蒿俊闵角球传中，佩莱小禁区前点头球后蹭，邱盛炯虽然做出扑救，但球打在横梁内侧弹入球门
57'中后场鲁能泰山队得球长传，直接出边线                   57'第57分钟，上海申花错失得分机会，任意球传到禁区后被蹭到后点，朱建荣后点近距离凌空射门将球射高
59'上海申花队左路长传进攻，球出边线                   57'第57分钟，上海申花错失得分机会，任意球传到禁区后被蹭到后点，朱建荣后点近距离凌空射门将球射高
60'佩莱接球！被放倒                   57'第57分钟，上海申花错失得分机会，任意球传到禁区后被蹭到后点，朱建荣后点近距离凌空射门将球射高
66'上海申花队逼得前场任意球机会                   66'第66分钟，上海申花获得前场任意球，吕征弧线球射门打在人墙上弹出底线
66'吕征罚任意球直接打门！！！！打在戴琳头上高出！                   66'第66分钟，上海申花获得前场任意球，吕征弧线球射门打在人墙上弹出底线
67'刘军帅右路强突被放倒                   66'第66分钟，上海申花获得前场任意球，吕征弧线球射门打在人墙上弹出底线
67'对于鲁能泰山队来说，大比分领先，可以放一下！                   66'第66分钟，上海申花获得前场任意球，吕征弧线球射门打在人墙上弹出底线
68'鲁能泰山队右路进攻，对方破坏出边线                   66'第66分钟，上海申花获得前场任意球，吕征弧线球射门打在人墙上弹出底线
68'界外球发出来，鲁能泰山队挑传禁区！被对方破坏                   66'第66分钟，上海申花获得前场任意球，吕征弧线球射门打在人墙上弹出底线
68'差不多就得了！多进无益，上海申花队心不在眼                   66'第66分钟，上海申花获得前场任意球，吕征弧线球射门打在人墙上弹出底线
69'蒿俊闵接球！丛震铲球动作过大！                   66'第66分钟，上海申花获得前场任意球，吕征弧线球射门打在人墙上弹出底线
73'西塞前场得球，回传一脚                   72'第72分钟，上海申花再遭打击，丛震飞铲放倒蒿俊闵，前者吃到本场第二张黄牌，被红牌罚下
75'任意球发出来，上海申花队右路突破失误                   72'第72分钟，上海申花再遭打击，丛震飞铲放倒蒿俊闵，前者吃到本场第二张黄牌，被红牌罚下
75'鲁能泰山队长传前场右路！被断                   72'第72分钟，上海申花再遭打击，丛震飞铲放倒蒿俊闵，前者吃到本场第二张黄牌，被红牌罚下
89'西塞中前场得球直传，吴兴涵突破到禁区内横传，佩莱抢点打门球进！                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
89'上海申花队在坐等比赛结束啊～～～                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
89'鲁能泰山队再换人：换下了彬彬，换上成源                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
90'下半场补时3分钟                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
91'成源传球，西塞越位啦                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
91'吕征前场右路突破，吴兴涵抢球犯规                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
91'上海申花队得到前场任意球机会                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
92'任意球发到禁区内后点，鲁能泰山队得球反击                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
92'中场佩莱接球，被对方破坏                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
92'蒿俊闵长传禁区！西塞和佩莱插上                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
92'成源禁区内接球，强突！对方倒地！成源被栏倒在地                   89'第89分钟，山东鲁能锁定胜局，吴兴涵边路突破杀入禁区送出弧线球传中，佩莱跟进铲射破门，佩莱打入个人本赛季第5球
