4'伊涅斯塔往前传时被蒙托利沃断下                   4'开场4分钟，蒙托利沃对内马尔犯规，哈维左侧距门26米处主罚任意球偏出近门柱
30'梅西准备主罚点球，看梅球王能破进球荒么                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
31'梅西助跑，打中路，点球打进，巴萨1-0领先                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
31'阿比亚蒂判断错了方向，扑向右侧                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
31'梅西中路点球打进                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
32'巴萨后场阿尔维斯传球时，被蒙塔里一个飞铲，阿尔维斯倒地                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
32'蒙塔里吃了一张黄牌                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
35'镜头回放一一遍刚才阿巴特拉倒内马尔，动作比较隐蔽，但是被抓到了                   35'第35分钟，波利禁区右侧回做，在门前13米处大力斜射偏出远门柱
35'梅西中路突破遭遇合围，巴萨丢球米兰反击                   35'第35分钟，波利禁区右侧回做，在门前13米处大力斜射偏出远门柱
36'蒙托利沃禁区前沿，直接右脚起脚打门，球偏出，擦柱而出，非常危险啊，看着像要进的样子                   35'第35分钟，波利禁区右侧回做，在门前13米处大力斜射偏出远门柱
36'巴萨前场控制                   35'第35分钟，波利禁区右侧回做，在门前13米处大力斜射偏出远门柱
36'哈维给阿尔维斯                   35'第35分钟，波利禁区右侧回做，在门前13米处大力斜射偏出远门柱
37'梅西前场突破两步分桑切斯，桑切斯再传中路找梅西，球被阿比亚蒂收下                   35'第35分钟，波利禁区右侧回做，在门前13米处大力斜射偏出远门柱
38'伊涅斯塔传左路内马尔                   35'第35分钟，波利禁区右侧回做，在门前13米处大力斜射偏出远门柱
38'内马尔回传伊涅斯塔，伊涅斯塔突破分给梅西，梅西禁区左侧找角度，被破坏                   35'第35分钟，波利禁区右侧回做，在门前13米处大力斜射偏出远门柱
47'米兰右路进攻                   47'第47分钟，哈维远射偏出
47'米兰换上巴神，准备改变一下了                   47'第47分钟，哈维远射偏出
48'没戏突破到禁区，回敲桑切斯                   47'第47分钟，哈维远射偏出
48'被米兰解围                   47'第47分钟，哈维远射偏出
48'内马尔前场得球，上半场内马尔在左路非常的活跃                   47'第47分钟，哈维远射偏出
49'哈维传伊涅斯塔                   47'第47分钟，哈维远射偏出
49'转移到左路内马尔                   47'第47分钟，哈维远射偏出
50'米兰反击，蒙托利沃左路突破，传中被马斯切拉诺断下                   47'第47分钟，哈维远射偏出
50'巴萨反击，内马尔越位了                   47'第47分钟，哈维远射偏出
55'下半场比赛开始了                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
55'米兰下半场出场就换人，巴洛特利换下罗比尼奥                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
52'内马尔传给布斯克茨转移右路                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
52'伊涅斯塔接球                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
52'直塞前点，米兰破坏出来                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
53'哈维横向突破，给阿尔维斯                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
53'阿德里亚诺给到禁区没戏，把球蹭进，但是明显的越位                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
53'可惜啊                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
54'内马尔左路突破阿巴特，阿巴特今天被晃的也不好防，德容得过来多帮忙                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
54'米兰中场任意球，开到左路                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
55'卡卡禁区突破，被逼到了底线，回传                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
55'德容传前场失误，巴萨反击                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
55'桑切斯内马尔前插                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
55'梅克斯对梅西犯规了                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
55'巴萨任意球                   52'第52分钟，阿德里亚诺左路直传，梅西在门前9米处匪夷所思的转身杂耍挑过阿比亚蒂入网，但越位在先
64'巴萨反击，内马尔左路传中找梅西，禁区前梅西周围都围了人，角度被米兰堵死了                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
65'米兰进攻，巴神强吃，边路传中找卡卡                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
65'卡卡蹭球可惜稍稍偏出                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
65'巴神力量对抗真是厉害                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
65'但是他的性格实在不可预知性太多                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
66'巴神替补登场后，米兰的进攻比上半场看起来有些起色                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
66'巴神的力量对抗可以帮他拿得住球，突破和右路破坏力更大                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
66'而罗比尼奥则比较轻盈                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
67'米兰前场，传中，萨帕塔将球顶出底线                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
67'巴萨中场控制                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
67'给到左路阿德里亚诺                   64'第64分钟，巴洛特利右路生趟马斯切拉诺右路低传，卡卡前点距门7米处推射偏出近门柱
68'阿德里亚诺找内马尔，内马尔突进禁区，被阿巴特铲球解围                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
68'阿德里亚诺外围，横切之后打近角远射高出衡量                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
69'阿比亚蒂大脚开出                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
69'巴神将球碰出边线                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
69'巴萨发界外球                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
70'巴萨右路，阿尔维斯传中，还是被阿巴特破坏                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
70'巴萨右路寻找机会                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
71'梅西横向突破，米兰四人在周围，线路堵死                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
71'巴萨禁区前压制进攻                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
71'米兰将球打到中场，找巴神                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
71'米兰进攻，来到中场                   68'第68分钟，伊涅斯塔开出战术角球，阿德里亚诺远射高出
73'右路进攻，波利给到中路                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
73'卡卡中路直传，队友没接应到                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
73'巴尔德斯将球收下                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
73'大脚开出，巴萨反击到前场                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
74'右路助攻能力很强的阿尔维斯很活跃                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
74'转移到左路，内马尔突破，连续突了阿巴特和萨帕塔，一人过掉3个，已经闪出角度                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
75'可惜最后一脚打门没调整好，打高了                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
75'没戏中路突破，分右路桑切斯                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
75'桑切斯近距离打门，被阿比亚蒂扑出                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
75'阿比亚蒂立功了                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
76'米兰反击，打前场接应不到位，巴尔德斯拿到球                   73'第73分钟，阿德里亚诺传球，内马尔左路晃过阿巴特，切入禁区连续趟过萨帕塔和梅克斯，中路距门10米处右脚打高
75'可惜最后一脚打门没调整好，打高了                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
75'没戏中路突破，分右路桑切斯                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
75'桑切斯近距离打门，被阿比亚蒂扑出                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
75'阿比亚蒂立功了                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
76'米兰反击，打前场接应不到位，巴尔德斯拿到球                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
77'米兰换人了比尔萨换下波利                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
77'伊涅斯塔中路非到右路                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
78'阿尔维斯突破到右路底线附近，球被碰触了底线，巴萨角球                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
78'角球配合，梅西横向突破                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
78'被破坏，回传                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
78'巴萨换人，法布雷加斯换下伊涅斯塔                   75'第75分钟，梅西与内马尔踢墙配合后中路分球，桑切斯右侧距门10米处推射被阿比亚蒂封出近角
83'巴神被撞到了，被布斯克茨撞了一下                   83'第83分钟，梅西与小法打出踢墙配合，小法背身横做，梅西突入禁区距门9米处轻松挑射入球门顶端，3比1
83'没有犯规，比赛继续                   83'第83分钟，梅西与小法打出踢墙配合，小法背身横做，梅西突入禁区距门9米处轻松挑射入球门顶端，3比1
83'阿尔维斯回传中路                   83'第83分钟，梅西与小法打出踢墙配合，小法背身横做，梅西突入禁区距门9米处轻松挑射入球门顶端，3比1
83'进球了，梅西！                   83'第83分钟，梅西与小法打出踢墙配合，小法背身横做，梅西突入禁区距门9米处轻松挑射入球门顶端，3比1
84'梅西中路给到法布雷加斯，法布雷加斯回敲，梅西插上跑到德容身后一敲，门前将球打进                   83'第83分钟，梅西与小法打出踢墙配合，小法背身横做，梅西突入禁区距门9米处轻松挑射入球门顶端，3比1
84'卡卡被换下，换上马特里                   83'第83分钟，梅西与小法打出踢墙配合，小法背身横做，梅西突入禁区距门9米处轻松挑射入球门顶端，3比1
85'梅西第一个点球的视频                   83'第83分钟，梅西与小法打出踢墙配合，小法背身横做，梅西突入禁区距门9米处轻松挑射入球门顶端，3比1
86'联赛遭遇4场进球荒的梅西终于打破球慌，本场梅开二度，上半场一粒点球，下半场一次跟进插上进攻进球                   83'第83分钟，梅西与小法打出踢墙配合，小法背身横做，梅西突入禁区距门9米处轻松挑射入球门顶端，3比1
88'巴萨右路进攻回传中路                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
88'皮克给到内马尔禁区前沿突破                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
88'哈维禁区前远射打远角，稍稍偏出                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
89'哈维下场休息，换上亚历山大宋                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
89'这是要鸣金收兵的信号么                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
89'哈维今天跑动超过1万米，传球成功率也很高，大师级的表现                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
90'巴萨进攻，梅西禁区前沿转身射门，打高                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
90'米兰危险啊差点又被进一球                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
91'巴萨右路进攻，阿尔维斯传球被挡出边线                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
91'巴萨发界外球                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
91'下半场比赛到了补时阶段                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
91'米最后的反击机会，被皮克中路断下                   88'第88分钟，佩德罗左侧回传，哈维在门前17米处弧线球偏出右门角
