30'吉鲁传中，特里头球解围                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
68'厄齐尔斜插小禁区，特里滑铲把球解围出边线                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
68'左路卡索拉下底传中被伊万挡出底线                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
69'阿森纳角球开出，没有威胁被顶出来                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
69'外围威廉争抢落点，伸脚把科斯切尔尼爆头了                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
69'裁判果断出示黄牌给了威廉                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
70'阿森纳前场定位球开出，禁区内库尔图瓦出击，击球不远                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
70'默特萨克禁区内来一脚劲射，偏出左门柱了                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
70'场边双方的球员都起来纷纷热身了                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
71'厄齐尔挑传左路，特里过来，把球破坏出边线                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
71'左路拉米塞拿球，给到身后的桑切斯                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
71'左路一系列的配合，吉鲁在给传丢了                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
71'阿森纳左路还有，桑切斯横向盘带切到中路                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
71'桑切斯挑传后卫身后，这个球没有瞄准啊                   68'第23分钟，法布雷加斯大禁区左上角突破卡索拉时摔倒，裁判判罚其假摔给予黄牌，场边主队球迷爆发轰鸣掌声后又接连回以嘘声，穆里尼奥又向第四官员抱怨判罚
34'桑切斯中路突然挑传阿斯皮利奎塔身后                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
35'贝莱林插上，倒地凌空把球钩到中间，吉鲁抢点射门被卡希尔倒地挡出                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
35'卡希尔这个球有打手嫌疑啊，裁判还是没有吹                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
35'慢镜头来看，这个球确实是手球无疑啊                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
36'科奎林阻止阿扎尔的突破领到一张黄牌                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
36'切尔西左路定位球送入禁区，后点阿森纳解围                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
36'桑切斯左边强突伊万，出界了                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
36'桑切斯跟裁判要犯规，奥利弗依然不响哨                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
37'科奎林前场拿球，送直塞，禁区前沿被挡出                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
37'阿森纳外围控制下来，重新组织，还是打左边                   34'第34分钟，桑切斯斜传，贝莱林禁区右侧凌空扫传，卡索拉的射门被卡希尔用手挡出，裁判又未判点球，温格场边极度失望
73'奥利弗之前就口头警告过伊万，这一次伊万是逃不过黄牌了                   73'第73分钟，德罗巴投诉禁区边缘的射门被科斯切尔尼用手封堵，裁判奥利弗仍拒绝判罚极刑
74'切尔西把球交给禁区内的魔兽，魔兽一拨，晃开科斯切尔尼，在射，打在科奎林身上出了底线                   73'第73分钟，德罗巴投诉禁区边缘的射门被科斯切尔尼用手封堵，裁判奥利弗仍拒绝判罚极刑
74'切尔西右路开出角球，中间默特萨克解围出来                   73'第73分钟，德罗巴投诉禁区边缘的射门被科斯切尔尼用手封堵，裁判奥利弗仍拒绝判罚极刑
75'卡索拉中路回敲一下，奥斯皮纳大脚开到前场                   73'第73分钟，德罗巴投诉禁区边缘的射门被科斯切尔尼用手封堵，裁判奥利弗仍拒绝判罚极刑
75'吉鲁头球摆渡下来                   73'第73分钟，德罗巴投诉禁区边缘的射门被科斯切尔尼用手封堵，裁判奥利弗仍拒绝判罚极刑
75'桑切斯左路和厄齐尔的配合                   73'第73分钟，德罗巴投诉禁区边缘的射门被科斯切尔尼用手封堵，裁判奥利弗仍拒绝判罚极刑
75'传中到禁区内找拉姆塞，被解围出边线                   73'第73分钟，德罗巴投诉禁区边缘的射门被科斯切尔尼用手封堵，裁判奥利弗仍拒绝判罚极刑
76'卡索拉禁区中间分给桑切斯，蒙雷亚尔套边，桑切斯没传                   73'第73分钟，德罗巴投诉禁区边缘的射门被科斯切尔尼用手封堵，裁判奥利弗仍拒绝判罚极刑
76'桑切斯自己打门被挡出来                   73'第73分钟，德罗巴投诉禁区边缘的射门被科斯切尔尼用手封堵，裁判奥利弗仍拒绝判罚极刑
60'贝莱林在对方的卡位下没有拿到这个球，出了底线                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
60'科奎林受伤倒地                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
61'在拼抢中撞到了德罗巴，属于一次意外受伤                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
61'拉姆塞左路直塞禁区内，被挡出来                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
62'阿森纳就地逼抢，把球断下                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
62'厄齐尔突到禁区边缘，横敲中路                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
62'拉姆塞跟上抡一脚，但卡希尔抢在他之前把球先捅出去                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
62'马蒂奇左路控球，知道自己的突破能力不够，选择回头给小法                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
63'小法挑传过顶给德罗巴被默特萨克解围                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
63'厄齐尔进攻停球打手犯规                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
63'切尔西的进攻，交给右路的威廉，威廉往中路走                   60'阿森纳最后15分钟开始发力，维尔贝克替换科奎林出场加强进攻
90'切尔西换人，法布雷加斯下场，祖马上场                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
90'穆里尼奥很满意平局的结果，换上祖马还是加强下防守，平稳度过最后的时间                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
90'下半场补时4分钟                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
91'阿森纳右路进攻，直塞给贝莱林                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
91'贝莱林传中落点不错啊                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
91'阿森纳中路三点包抄，没有碰到                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
91'阿森纳左侧再送进去，可惜维尔贝克后点没有碰到球啊                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
91'要不然就是一个打空门的好机会                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
92'德罗巴前场积极的拼抢                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
92'阿森纳抓紧最后的时间继续猛攻                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
92'左路厄齐尔直塞卡希尔身后的空当                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
93'卡希尔抢在维尔贝克之前铲抢下来                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
93'阿扎尔后场组织反击，刚要起速被卡索拉摁住                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
93'卡索拉也吃到黄牌                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
93'切尔西继续换人，夸德拉多上来，威廉下场                   90'第90分钟，法布雷加斯被祖马换下，漫天嘘声中部分阿森纳球迷为其送上掌声
