4'辽宁这个失球有些突然，不过比赛刚刚开始，这种局面比赛将会很好看                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
25'不过应该问题不大，比赛继续                   22'第22分钟，杨超声得球快速的反击，张笑非阻挡犯规吃到黄牌
32'长春队主打防守反击，而辽宁也很忌惮对方的速度，不敢贸然前压                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
32'马祖左侧背身拿球，米切尔凶狠的背后踢人，吃到黄牌                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
32'今天两队得牌率很高啊，比赛才打了30分钟                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
33'杜震宇左侧杀入禁区，下底传中，张鹭侧扑，把球摘下                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
33'辽宁右路获得前场的定位球机会                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
33'丁海峰罚入禁区之内，阎峰后点头球解围                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
33'长春快速的反击，马祖右路杀入底线附近                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
34'马祖传中给到弧顶处，长春队在过度到左侧                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
34'莫雷罗拿球突破被张野放倒                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
34'长春队定位球传中，没有造成威胁                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
34'外围长春队把球控制下来，继续进攻                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
35'左侧的传中还是没能过前点                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
35'马祖后场控球，詹姆斯急躁的上抢，连人带球全踢翻在地                   32'第32分钟，马祖左侧背身拿球，米切尔凶狠的背后踢人吃到黄牌
37'长春队大脚发动长传进攻，张鹭化身诺伊尔，充当后卫，出击解围                   37'第37分钟，长春队大脚发动长传进攻，张鹭出禁区将球解围，长春亚泰卷土重来，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围
37'长春队再次把辽宁的左路打穿，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围                   37'第37分钟，长春队大脚发动长传进攻，张鹭出禁区将球解围，长春亚泰卷土重来，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围
38'很危险，只要包抄上，想不进都难                   37'第37分钟，长春队大脚发动长传进攻，张鹭出禁区将球解围，长春亚泰卷土重来，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围
38'莫雷罗中路的一记挑传，力量大了                   37'第37分钟，长春队大脚发动长传进攻，张鹭出禁区将球解围，长春亚泰卷土重来，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围
39'这一阵长春队反客为主，连续的打出进攻                   37'第37分钟，长春队大脚发动长传进攻，张鹭出禁区将球解围，长春亚泰卷土重来，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围
39'辽宁队右路斜传，后点詹姆斯头球顶到中间                   37'第37分钟，长春队大脚发动长传进攻，张鹭出禁区将球解围，长春亚泰卷土重来，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围
39'伊斯梅洛夫抢在包抄的邱卡前，解围出底线                   37'第37分钟，长春队大脚发动长传进攻，张鹭出禁区将球解围，长春亚泰卷土重来，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围
40'辽宁的这次进攻打的颇具威胁，对方门前一时间风声鹤唳                   37'第37分钟，长春队大脚发动长传进攻，张鹭出禁区将球解围，长春亚泰卷土重来，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围
40'丁海峰的角球没能制造出威胁                   37'第37分钟，长春队大脚发动长传进攻，张鹭出禁区将球解围，长春亚泰卷土重来，杜震宇禁区内低球传入小禁区，杨善平赶在马祖之前把球解围
46'长春队右路的角球，传中不错，孙捷头球高出横梁                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
46'上半场补时1分钟                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
46'辽宁前场左侧再次获得一个定位球，这是上半场最后一攻                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
47'邱卡把球送入禁区之内，第一点被长春队球员得到                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
46'辽宁队右侧的进攻，杨运和丁捷的2过1配合，被孙捷挡出边线                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
47'秦升界外球抛出，赢得一个右路的角球                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
47'辽宁开出战术角球                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
47'右路大范围的转移到另一侧                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
47'詹姆斯进攻犯规                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
48'孙捷的解围踢在邱卡的身上                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
48'詹姆斯和邱卡前场立马组织反攻，马祖防守犯规                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
48'丁海峰回传一下，给米切尔                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
49'米切尔在回传张鹭，张鹭给到杨善平，辽宁慢慢往前推进                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
49'中路的渗透，被破坏到了左侧                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
49'丁海峰斜传禁区被顶出来                   46'1分钟后，张野中路妙传，杨超声禁区右路卧射破门，可惜越位在先
50'郑涛再往里输送炮弹，长春队注意力集中，前点解围                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
50'杜震宇左侧反击，面对郑涛的防守，赢得一个定位球                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
51'胡斯蒂罚入禁区中路，落点不错啊，有人摔倒，裁判示意继续                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
51'詹姆斯带球反击，斜传到右侧插上的丁捷                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
52'丁捷禁区内过掉一个后卫，在调整，被补防的人断下                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
52'辽宁队右路再攻，丁捷底线把球救回                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
52'郑涛右路直塞给大了，出底线                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
53'马祖右路快速突破，辽宁防守马祖的时候必须两个人跟，他的速度确实太快                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
53'米切尔把球捅出边线                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
53'胡斯蒂右路传中，前点被对方挡出来                   50'第50分钟，杜震宇左侧反击，面对郑涛的防守，赢得一个定位球，亚泰定位球罚出没有威胁
61'辽宁队禁区前沿的三人配合，詹姆斯的挑传，邱卡越位                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
61'宋振瑜大脚开出来，长春队前场把球拿住，慢慢的推进                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
62'阎峰转移给右路的马祖                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
62'马祖的突破传球被丁海峰拦截                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
62'双方下半场踢的都比较小心，都比较害怕先失球                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
63'长春队一次漂亮的反击，来自于胡斯蒂                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
63'胡斯蒂禁区外面对3名后卫，闪开空当，起脚远射，被张鹭倒地扑出底线                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
64'.辽宁再次换人，吴高俊上来，替下郑涛                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
64'胡斯蒂右路的角球开出，禁区内伊斯梅洛夫头球抢点犯规了                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
64'辽宁的反击，给到左路的丁海峰，丁海峰自己选择来一脚，没有威胁                   61'第61分钟，辽宁队禁区前沿三人配合，詹姆斯挑传，邱卡越位了
46'长春队右路的角球，传中不错，孙捷头球高出横梁                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
46'上半场补时1分钟                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
46'辽宁前场左侧再次获得一个定位球，这是上半场最后一攻                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
47'邱卡把球送入禁区之内，第一点被长春队球员得到                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
46'辽宁队右侧的进攻，杨运和丁捷的2过1配合，被孙捷挡出边线                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
47'秦升界外球抛出，赢得一个右路的角球                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
47'辽宁开出战术角球                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
47'右路大范围的转移到另一侧                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
47'詹姆斯进攻犯规                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
48'孙捷的解围踢在邱卡的身上                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
48'詹姆斯和邱卡前场立马组织反攻，马祖防守犯规                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
48'丁海峰回传一下，给米切尔                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
49'米切尔在回传张鹭，张鹭给到杨善平，辽宁慢慢往前推进                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
49'中路的渗透，被破坏到了左侧                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
49'丁海峰斜传禁区被顶出来                   46'1分钟后，辽宁再次换人，吴高俊上来，替下郑涛
66'辽宁队左侧的斜传，到禁区内，前点孙捷头球解围                   66'第66分钟，邱卡头球攻门稍稍偏出
66'辽宁外围二次进攻，在传后点，邱卡后退中抢这个点，没有顶舒服，偏出近门柱                   66'第66分钟，邱卡头球攻门稍稍偏出
67'双方的节奏都很快                   66'第66分钟，邱卡头球攻门稍稍偏出
67'长春队左路把球摘出来，胡斯蒂瞄着禁区传                   66'第66分钟，邱卡头球攻门稍稍偏出
67'莫雷罗禁区内一步的位置，强行打门，被后卫挡出来，有手球嫌疑                   66'第66分钟，邱卡头球攻门稍稍偏出
68'长春的球员要点球，裁判示意继续                   66'第66分钟，邱卡头球攻门稍稍偏出
68'吴高俊右路插上助攻，没有控制好，出了底线                   66'第66分钟，邱卡头球攻门稍稍偏出
68'.长春队换人，祝一帆上，替下了老将阎峰                   66'第66分钟，邱卡头球攻门稍稍偏出
69'加强一下后腰的硬度，阎峰拼了大半场，体能消耗比较大                   66'第66分钟，邱卡头球攻门稍稍偏出
70'辽宁队右路传切之后，斜传禁区，后点詹姆斯没人盯防了，詹姆斯迎着球，凌空一抽，宋振瑜倒地扑住                   70'第70分钟，亚泰再度领先，胡斯蒂左侧禁区外拿球，杜震宇下底虚晃一下胡斯蒂没给，选择直接传中，后点马祖力压丁海峰头球砸入近角，距离太近张鹭来不及反应，亚泰2-1再次取得领先
70'长春队反超比分                   70'第70分钟，亚泰再度领先，胡斯蒂左侧禁区外拿球，杜震宇下底虚晃一下胡斯蒂没给，选择直接传中，后点马祖力压丁海峰头球砸入近角，距离太近张鹭来不及反应，亚泰2-1再次取得领先
70'.来自于马祖的进球                   70'第70分钟，亚泰再度领先，胡斯蒂左侧禁区外拿球，杜震宇下底虚晃一下胡斯蒂没给，选择直接传中，后点马祖力压丁海峰头球砸入近角，距离太近张鹭来不及反应，亚泰2-1再次取得领先
72'胡斯蒂左侧禁区外拿球，杜震宇下底虚晃一下胡斯蒂没给，选择直接传中，后点马祖力压丁海峰，头球砸入近角，距离太近张鹭来不及反应                   70'第70分钟，亚泰再度领先，胡斯蒂左侧禁区外拿球，杜震宇下底虚晃一下胡斯蒂没给，选择直接传中，后点马祖力压丁海峰头球砸入近角，距离太近张鹭来不及反应，亚泰2-1再次取得领先
72'祝一帆后场犯规，抱摔的动作放倒张野                   70'第70分钟，亚泰再度领先，胡斯蒂左侧禁区外拿球，杜震宇下底虚晃一下胡斯蒂没给，选择直接传中，后点马祖力压丁海峰头球砸入近角，距离太近张鹭来不及反应，亚泰2-1再次取得领先
73'杨善平后场起长传球，落点不好，伊斯梅洛夫头球一点，把球控制                   70'第70分钟，亚泰再度领先，胡斯蒂左侧禁区外拿球，杜震宇下底虚晃一下胡斯蒂没给，选择直接传中，后点马祖力压丁海峰头球砸入近角，距离太近张鹭来不及反应，亚泰2-1再次取得领先
81'长春队反击，右路插上，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，丧失了机会                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
81'辽宁左路防守犯规给了对方一个定位球                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
82'辽宁换人，胡延强替下了杨运                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
82'.长春队也换人，胡斯蒂下来，阿克斯上                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
82'双方都用完了3个换人名额                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
83'长春队定位球没有造成威胁                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
83'辽宁队直塞，詹姆斯快速杀入禁区，横传一下想给后点的邱卡                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
84'球速比较慢，宋振瑜倒地把球拦住                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
84'辽宁扳平了比分                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
84'胡延强，替补上来，建立奇功                   81'第81分钟，长春队反击，蒋哲反越位杀到小禁区，面对出击的张鹭，蒋哲选择横传到门前，浪费了机会
83'长春队定位球没有造成威胁                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
83'辽宁队直塞，詹姆斯快速杀入禁区，横传一下想给后点的邱卡                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
84'球速比较慢，宋振瑜倒地把球拦住                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
84'辽宁扳平了比分                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
84'胡延强，替补上来，建立奇功                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
85'詹姆斯禁区内拿球，斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
85'詹姆斯这个球传的太舒服了                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
85'詹姆斯今天的表现真是堪称居功至伟                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
86'对于这个失球，张笑非责任比较大                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
86'丁海峰左路卸球失误，打手犯规                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
86'张笑非主罚，禁区内张鹭出击摘下                   83'第83分钟，辽足再次扳平比分，詹姆斯禁区内拿球斜推右侧给胡延强，张笑非防守失位，胡延强跟上之后一记大力推射，打入上角得分，场上比分2-2平
49'米切尔在回传张鹭，张鹭给到杨善平，辽宁慢慢往前推进                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
49'中路的渗透，被破坏到了左侧                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
49'丁海峰斜传禁区被顶出来                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
50'郑涛再往里输送炮弹，长春队注意力集中，前点解围                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
50'杜震宇左侧反击，面对郑涛的防守，赢得一个定位球                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
51'胡斯蒂罚入禁区中路，落点不错啊，有人摔倒，裁判示意继续                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
51'詹姆斯带球反击，斜传到右侧插上的丁捷                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
52'丁捷禁区内过掉一个后卫，在调整，被补防的人断下                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
52'辽宁队右路再攻，丁捷底线把球救回                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
52'郑涛右路直塞给大了，出底线                   49'下半场补时4分钟，第92分钟，莫雷罗左路反越位从肋部插上，禁区内小角度面对张鹭，推射被张鹭用腿挡出
