6'吕伟为天津泰达在右路,赢得一个任意球.                   5'富力也加强了防守硬度，达维第5分钟在中场 犯规吃到黄牌
25'张耀坤将球处理出底线,天津泰达获得角球.                   24'第 24分钟，天津队角球开到禁区中央，周海滨后排插上俯身冲顶，但皮球偏出了远端门柱
26'天津泰达球员周海滨大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是王新欣.                   24'第 24分钟，天津队角球开到禁区中央，周海滨后排插上俯身冲顶，但皮球偏出了远端门柱
30'贾德尔为天津泰达在对方半场,赢得一个任意球.                   30'第30分钟，巴雷摆脱后卫纠缠 后30米开外直接远射，皮球被石笑天得到
30'广州富力球员卢琳拼抢犯规,对手获得控球权.                   30'第30分钟，巴雷摆脱后卫纠缠 后30米开外直接远射，皮球被石笑天得到
31'射门!!!天津泰达球员贾德尔大禁区外左脚射门,被对方守门员横身扑出.给他传球的是李玮峰.                   30'第30分钟，巴雷摆脱后卫纠缠 后30米开外直接远射，皮球被石笑天得到
33'天津泰达球员周海滨大禁区右侧右脚射门,被防守球员封堵.                   30'第30分钟，巴雷摆脱后卫纠缠 后30米开外直接远射，皮球被石笑天得到
33'达维将球处理出底线,天津泰达获得角球.                   30'第30分钟，巴雷摆脱后卫纠缠 后30米开外直接远射，皮球被石笑天得到
33'天津泰达球员李玮峰大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是王新欣.                   30'第30分钟，巴雷摆脱后卫纠缠 后30米开外直接远射，皮球被石笑天得到
35'雅库布为广州富力在对方半场,赢得一个任意球.                   35'第35分钟，雅库布得球反击扣过李玮峰，后者放倒对方
35'天津泰达球员李玮峰拼抢犯规,对手获得控球权.                   35'第35分钟，雅库布得球反击扣过李玮峰，后者放倒对方
36'广州富力球员卢琳大禁区外右脚射门,命中门柱横梁.                   35'第35分钟，雅库布得球反击扣过李玮峰，后者放倒对方
37'广州富力球员姜宁拼抢犯规,对手获得控球权.                   35'第35分钟，雅库布得球反击扣过李玮峰，后者放倒对方
37'吕伟为天津泰达赢得一个任意球.                   35'第35分钟，雅库布得球反击扣过李玮峰，后者放倒对方
38'广州富力球员雅库布拼抢犯规,对手获得控球权.                   35'第35分钟，雅库布得球反击扣过李玮峰，后者放倒对方
38'Éder Lima为天津泰达赢得一个任意球.                   35'第35分钟，雅库布得球反击扣过李玮峰，后者放倒对方
39'天津泰达球员周海滨大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   39'第39分钟，天津队右路任意球突然直传，吕伟下底传中， 帕尔塔鲁前点甩头攻门被后卫挡出底线
41'广州富力球员李文博拼抢犯规,对手获得控球权.                   39'第39分钟，天津队右路任意球突然直传，吕伟下底传中， 帕尔塔鲁前点甩头攻门被后卫挡出底线
41'贾德尔为天津泰达在右路,赢得一个任意球.                   39'第39分钟，天津队右路任意球突然直传，吕伟下底传中， 帕尔塔鲁前点甩头攻门被后卫挡出底线
41'博斯纳将球处理出底线,天津泰达获得角球.                   39'第39分钟，天津队右路任意球突然直传，吕伟下底传中， 帕尔塔鲁前点甩头攻门被后卫挡出底线
48'李岩为广州富力赢得一个任意球.                   48'第48分钟，唐淼倒钩解围失误，瓦伦西亚禁区内得球回做，李本舰禁区线上搓射，皮球稍稍偏出门柱
48'天津泰达球员帕尔塔鲁拼抢犯规,对手获得控球权.                   48'第48分钟，唐淼倒钩解围失误，瓦伦西亚禁区内得球回做，李本舰禁区线上搓射，皮球稍稍偏出门柱
48'广州富力球员张耀坤一脚直塞球给雅库布,但是边裁举旗显示后者已经越位.                   48'第48分钟，唐淼倒钩解围失误，瓦伦西亚禁区内得球回做，李本舰禁区线上搓射，皮球稍稍偏出门柱
49'天津泰达球员白岳峰大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是瓦伦西亚.                   48'第48分钟，唐淼倒钩解围失误，瓦伦西亚禁区内得球回做，李本舰禁区线上搓射，皮球稍稍偏出门柱
50'广州富力球员李文博拼抢犯规,对手获得控球权.                   48'第48分钟，唐淼倒钩解围失误，瓦伦西亚禁区内得球回做，李本舰禁区线上搓射，皮球稍稍偏出门柱
50'贾德尔为天津泰达在右路,赢得一个任意球.                   48'第48分钟，唐淼倒钩解围失误，瓦伦西亚禁区内得球回做，李本舰禁区线上搓射，皮球稍稍偏出门柱
51'射门!!!天津泰达球员李玮峰大禁区中央头球,被对方守门员横身扑出.给他传球的是王新欣.                   48'第48分钟，唐淼倒钩解围失误，瓦伦西亚禁区内得球回做，李本舰禁区线上搓射，皮球稍稍偏出门柱
51'石笑天将球处理出底线,天津泰达获得角球.                   48'第48分钟，唐淼倒钩解围失误，瓦伦西亚禁区内得球回做，李本舰禁区线上搓射，皮球稍稍偏出门柱
51'雅库布将球处理出底线,天津泰达获得角球.                   48'第48分钟，唐淼倒钩解围失误，瓦伦西亚禁区内得球回做，李本舰禁区线上搓射，皮球稍稍偏出门柱
59'石笑天为广州富力赢得一个任意球.                   57'第57分钟，天津队大力界外球，巴雷将球顶向门前，但小禁区线上的李本舰停球过大失去了射门机会
59'天津泰达球员李本舰拼抢犯规,对手获得控球权.                   57'第57分钟，天津队大力界外球，巴雷将球顶向门前，但小禁区线上的李本舰停球过大失去了射门机会
60'广州富力球员姜宁拼抢犯规,对手获得控球权.                   57'第57分钟，天津队大力界外球，巴雷将球顶向门前，但小禁区线上的李本舰停球过大失去了射门机会
60'吕伟为天津泰达赢得一个任意球.                   57'第57分钟，天津队大力界外球，巴雷将球顶向门前，但小禁区线上的李本舰停球过大失去了射门机会
60'广州富力球员姜宁拼抢犯规,对手获得控球权.                   60'第60分钟，卢琳右路突然转身沿底线杀入禁区，低平球传中被后卫挡出后，姜宁禁区线上右脚抽射，宗垒倒地侧扑将球封出
60'吕伟为天津泰达赢得一个任意球.                   60'第60分钟，卢琳右路突然转身沿底线杀入禁区，低平球传中被后卫挡出后，姜宁禁区线上右脚抽射，宗垒倒地侧扑将球封出
61'射门!!!广州富力球员拉斐尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是唐淼.                   60'第60分钟，卢琳右路突然转身沿底线杀入禁区，低平球传中被后卫挡出后，姜宁禁区线上右脚抽射，宗垒倒地侧扑将球封出
61'广州富力球员拉斐尔大禁区外右脚射门,被防守球员封堵.                   60'第60分钟，卢琳右路突然转身沿底线杀入禁区，低平球传中被后卫挡出后，姜宁禁区线上右脚抽射，宗垒倒地侧扑将球封出
62'广州富力球员卢琳拼抢犯规,对手获得控球权.                   60'第60分钟，卢琳右路突然转身沿底线杀入禁区，低平球传中被后卫挡出后，姜宁禁区线上右脚抽射，宗垒倒地侧扑将球封出
62'Éder Lima为天津泰达赢得一个任意球.                   60'第60分钟，卢琳右路突然转身沿底线杀入禁区，低平球传中被后卫挡出后，姜宁禁区线上右脚抽射，宗垒倒地侧扑将球封出
65'天津泰达换人,安德烈齐尼奥换下Éder Lima                   65'第65分钟，王新欣禁区外突然左脚冷射，石笑天准备充分，飞身单手将球托出横梁
65'天津泰达换人,聊博超换下周海滨                   65'第65分钟，王新欣禁区外突然左脚冷射，石笑天准备充分，飞身单手将球托出横梁
66'射门!!!天津泰达球员王新欣大禁区外左脚射门,被对方守门员横身扑出.                   65'第65分钟，王新欣禁区外突然左脚冷射，石笑天准备充分，飞身单手将球托出横梁
66'雅库布将球处理出底线,天津泰达获得角球.                   65'第65分钟，王新欣禁区外突然左脚冷射，石笑天准备充分，飞身单手将球托出横梁
67'射门!!!天津泰达球员贾德尔大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是瓦伦西亚.                   65'第65分钟，王新欣禁区外突然左脚冷射，石笑天准备充分，飞身单手将球托出横梁
67'天津泰达球员李本舰手球犯规,对手获得球权.                   65'第65分钟，王新欣禁区外突然左脚冷射，石笑天准备充分，飞身单手将球托出横梁
70'天津泰达球员安德烈齐尼奥大禁区外尝试右脚射门,可惜皮球高出球门.                   70'第70分钟，帕尔塔鲁界外球掷入禁区，瓦伦西亚头球后蹭被顶出，李本舰和烈鸟同时抢射将球打高
72'进球啦！！！天津泰达球员瓦伦西亚大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是安德烈齐尼奥. 天津泰达 1-1 广州富力.                   70'第70分钟，帕尔塔鲁界外球掷入禁区，瓦伦西亚头球后蹭被顶出，李本舰和烈鸟同时抢射将球打高
73'广州富力球员雅库布拼抢犯规,对手获得控球权.                   70'第70分钟，帕尔塔鲁界外球掷入禁区，瓦伦西亚头球后蹭被顶出，李本舰和烈鸟同时抢射将球打高
73'李玮峰为天津泰达赢得一个任意球.                   70'第70分钟，帕尔塔鲁界外球掷入禁区，瓦伦西亚头球后蹭被顶出，李本舰和烈鸟同时抢射将球打高
74'李文博为广州富力赢得一个任意球.                   74'第74分钟他人球分过，在右路起脚传中结果击中球门上角弹出底线
74'天津泰达球员贾德尔拼抢犯规,对手获得控球权.                   74'第74分钟他人球分过，在右路起脚传中结果击中球门上角弹出底线
76'唐淼将球处理出底线,天津泰达获得角球.                   74'第74分钟他人球分过，在右路起脚传中结果击中球门上角弹出底线
84'广州富力球员达维大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   83'第83分钟，富力突然加速，达维挑传禁区，姜宁头球摆渡，雅库布插上左脚射门，可惜皮球打在边网上
86'广州富力球员雅库布大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是姜宁.                   83'第83分钟，富力突然加速，达维挑传禁区，姜宁头球摆渡，雅库布插上左脚射门，可惜皮球打在边网上
