5'多特蒙德球员奥巴梅扬球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是施梅尔策.                   5'开场5分钟，施梅尔策左路传中，奥巴梅扬在门前5米处冲顶偏出左门柱
45'+1'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   43'第43分钟，莱万多夫斯基左路遭马拉费耶夫出击铲截倒地，到场边接受治疗，好在没有大碍
45'+1'维斯特尔为泽尼特在对方半场,赢得一个任意球.                   43'第43分钟，莱万多夫斯基左路遭马拉费耶夫出击铲截倒地，到场边接受治疗，好在没有大碍
45'+1'泽尼特球员胡波坎一脚直塞球给丹尼,但是边裁举旗显示后者已经越位.                   43'第43分钟，莱万多夫斯基左路遭马拉费耶夫出击铲截倒地，到场边接受治疗，好在没有大碍
45'+2'上半场结束,多特蒙德 1-1 泽尼特,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，莱万多夫斯基左路遭马拉费耶夫出击铲截倒地，到场边接受治疗，好在没有大碍
45'泽尼特换人,路易斯-内托换下隆巴尔特                   43'第43分钟，莱万多夫斯基左路遭马拉费耶夫出击铲截倒地，到场边接受治疗，好在没有大碍
68'多特蒙德球员奥巴梅扬大禁区外右脚射门,被防守球员封堵.                   68'第68分钟，姆希塔良在门前27米处主罚任意球打在人墙上
68'胡尔克将球处理出底线,多特蒙德获得角球.                   68'第68分钟，姆希塔良在门前27米处主罚任意球打在人墙上
69'多特蒙德换人,约基奇换下姆希塔良                   68'第68分钟，姆希塔良在门前27米处主罚任意球打在人墙上
69'阿纽科夫将球处理出底线,多特蒙德获得角球.                   68'第68分钟，姆希塔良在门前27米处主罚任意球打在人墙上
70'多特蒙德球员莱万多夫斯基拼抢犯规,对手获得控球权.                   68'第68分钟，姆希塔良在门前27米处主罚任意球打在人墙上
70'路易斯-内托为泽尼特赢得一个任意球.                   68'第68分钟，姆希塔良在门前27米处主罚任意球打在人墙上
71'维斯特尔将球处理出底线,多特蒙德获得角球.                   68'第68分钟，姆希塔良在门前27米处主罚任意球打在人墙上
71'约基奇为多特蒙德在对方半场,赢得一个任意球.                   68'第68分钟，姆希塔良在门前27米处主罚任意球打在人墙上
71'泽尼特球员胡尔克拼抢犯规,对手获得控球权.                   68'第68分钟，姆希塔良在门前27米处主罚任意球打在人墙上
73'进球啦！！！泽尼特球员隆东球门线跟前头球,球从中路飞进球门,球进了!助攻的是克里西托. 多特蒙德 1-2 泽尼特.                   73'第73分钟，克里希托左侧禁区前沿弧线球斜传，龙东在门前5米处冲顶入网，2比1，他是继罗伯托-梅雷莱斯(2010年12月7日)之后，第2位欧冠进球的委内瑞拉球员
74'泽尼特球员胡尔克拼抢犯规,对手获得控球权.                   73'第73分钟，克里希托左侧禁区前沿弧线球斜传，龙东在门前5米处冲顶入网，2比1，他是继罗伯托-梅雷莱斯(2010年12月7日)之后，第2位欧冠进球的委内瑞拉球员
74'施梅尔策为多特蒙德赢得一个任意球.                   73'第73分钟，克里希托左侧禁区前沿弧线球斜传，龙东在门前5米处冲顶入网，2比1，他是继罗伯托-梅雷莱斯(2010年12月7日)之后，第2位欧冠进球的委内瑞拉球员
75'维斯特尔为泽尼特赢得一个任意球.                   73'第73分钟，克里希托左侧禁区前沿弧线球斜传，龙东在门前5米处冲顶入网，2比1，他是继罗伯托-梅雷莱斯(2010年12月7日)之后，第2位欧冠进球的委内瑞拉球员
75'多特蒙德球员约基奇拼抢犯规,对手获得控球权.                   73'第73分钟，克里希托左侧禁区前沿弧线球斜传，龙东在门前5米处冲顶入网，2比1，他是继罗伯托-梅雷莱斯(2010年12月7日)之后，第2位欧冠进球的委内瑞拉球员
75'黄牌！多特蒙德球员约基奇因为恶意犯规,被主裁判出示黄牌.                   73'第73分钟，克里希托左侧禁区前沿弧线球斜传，龙东在门前5米处冲顶入网，2比1，他是继罗伯托-梅雷莱斯(2010年12月7日)之后，第2位欧冠进球的委内瑞拉球员
88'射门!!!泽尼特球员维斯特尔大禁区外右脚射门,被对方守门员横身扑出.                   88'第88分钟，维策尔断球低射偏出左门柱
88'魏登费勒将球处理出底线,泽尼特获得角球.                   88'第88分钟，维策尔断球低射偏出左门柱
89'射门!!!泽尼特球员沙托夫大禁区外右脚射门,被对方守门员横身扑出.                   88'第88分钟，维策尔断球低射偏出左门柱
90'多特蒙德球员莱万多夫斯基拼抢犯规,对手获得控球权.                   88'第88分钟，维策尔断球低射偏出左门柱
90'胡波坎为泽尼特赢得一个任意球.                   88'第88分钟，维策尔断球低射偏出左门柱
90'泽尼特胡波坎受伤倒地,比赛暂停                   88'第88分钟，维策尔断球低射偏出左门柱
90'+1'多特蒙德换人,J-霍夫曼换下奥巴梅扬                   88'第88分钟，维策尔断球低射偏出左门柱
90'+1'暂停结束,球员们重新开始比赛.                   88'第88分钟，维策尔断球低射偏出左门柱
90'+2'多特蒙德球员皮什切克拼抢犯规,对手获得控球权.                   88'第88分钟，维策尔断球低射偏出左门柱
90'+2'胡尔克为泽尼特在左路,赢得一个任意球.                   88'第88分钟，维策尔断球低射偏出左门柱
90'+4'下半场结束,多特蒙德 1-2 泽尼特                   88'第88分钟，维策尔断球低射偏出左门柱
