1'好的比赛开始，建业率先进攻、                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
21'徐洋中路控球，大范围转移，给到另一边的费尔南多，失误了                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
22'建业前场传球，直接找到边路牟善韬，但是抢球犯规了                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
23'力帆后场控球，突然给到中场徐洋，再给边路冯劲，出了底线                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
23'伊沃中场控球，分边路，回敲伊沃，再给伊鸿博，横穿伊沃，盘带，吴庆犯规了                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
23'建业取得前场定位球                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
24'伊沃继续主罚，看看怎么样                   24'第24分钟，伊沃摆脱两人防守后被吴庆踢倒，河南建业获得位置不错的任意球，伊沃弧线球传中，戈麦斯再次力压防守队员头球攻门，球击中边网
24'定位球开出来，又是戈麦斯，头球攻门，可惜偏出球门                   24'第24分钟，伊沃摆脱两人防守后被吴庆踢倒，河南建业获得位置不错的任意球，伊沃弧线球传中，戈麦斯再次力压防守队员头球攻门，球击中边网
24'力帆后场倒球                   24'第24分钟，伊沃摆脱两人防守后被吴庆踢倒，河南建业获得位置不错的任意球，伊沃弧线球传中，戈麦斯再次力压防守队员头球攻门，球击中边网
25'突然给到中场费尔南多，费尔南多卡住身位，麦克格文犯规了                   24'第24分钟，伊沃摆脱两人防守后被吴庆踢倒，河南建业获得位置不错的任意球，伊沃弧线球传中，戈麦斯再次力压防守队员头球攻门，球击中边网
26'徐洋前场拿球，回到后场，奥斯曼断球了竟然，带球突破，2人包夹，球出界了                   24'第24分钟，伊沃摆脱两人防守后被吴庆踢倒，河南建业获得位置不错的任意球，伊沃弧线球传中，戈麦斯再次力压防守队员头球攻门，球击中边网
26'费尔南多中场拿球，过了一人，分球边路吴庆，往禁区里传，被解围出来                   24'第24分钟，伊沃摆脱两人防守后被吴庆踢倒，河南建业获得位置不错的任意球，伊沃弧线球传中，戈麦斯再次力压防守队员头球攻门，球击中边网
27'建业发边线球，力帆断球，不过自己躺大了，出了底线，可惜呀这球                   24'第24分钟，伊沃摆脱两人防守后被吴庆踢倒，河南建业获得位置不错的任意球，伊沃弧线球传中，戈麦斯再次力压防守队员头球攻门，球击中边网
38'徐小波想找吉利奥蒂，被断下，伊沃控球，徐小波抢球犯规                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
39'吴庆中路，拿球被断，球被麦克格纹踢出边线                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
39'邓小飞大脚开出来                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
40'漂亮的突破，冯劲，传中，球打到防守球员身上出界                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
40'角球                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
40'战术角球，费尔南多传到门前，没人抢到                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
40'伊沃拿球，徐小波战术犯规组织伊沃，裁判出示了黄牌                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
41'戈麦斯大脚开出来，力帆球员拿球                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
41'吴庆往前传，牟善韬保险起见将球踢出界外                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
41'力帆中场横传出现失误                   38'第38分钟，吉利奥迪将球分边，徐洋边路拿球扣过防守弧线球传中，吴庆头球吊射被门将在门线上没收
48'突然给到边路徐小波，传禁区，戈麦斯断球                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
48'长传边路插上的外力，下底传中，奥斯曼头球，没顶上力量                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
48'费尔南多边路突破，3人包夹，分出来，给到吴庆，传禁区，建业球员将球顶出界外                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
48'角球                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
49'角球开出来，后点，被解围出来                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
49'边路徐洋带球突破，横传，失误了                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
49'奥斯曼带球突破，回敲中场牟善韬                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
50'分伊沃，传到禁区，解围出来，再给伊沃，突破起脚打门，球稍稍高出横梁                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
50'邓小飞大脚开出来                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
50'罗歆拿球，分王栋，大范围转移                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
51'费尔南多拿球，分中路吉利奥蒂，再给禁区内的吴庆，球被王国明拿到                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
51'直接长传球找奥斯曼，越位了                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
51'费尔南多边路带球，突然直塞，戈麦斯倒地解围出来                   48'下半场易边再战，第48分钟，戈麦斯长传边路，外力弧线球传中，梁雨高高跃起头球攻门，球砸地后被门将没收
52'力帆前场带球，顾操犯规了，前场定位球                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
53'定位球开出来，前点，冯劲，头球一蹭，到了罗歆面前，头球，没有顶进                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
53'王国明大脚开出来，力帆球员控制住球                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
53'奥斯曼中场断球，徐小波反抢犯规了                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
54'伊沃和牟善韬2过2配合，失误了                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
54'徐洋中场拿球，给到吉利奥蒂，打到边路费尔南多                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
55'费尔南多打到禁区路，王栋插上攻门了                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
55'王国明稳稳将球抱住                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
55'戈麦斯中场断球，王栋抢球，放倒了戈麦斯                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
55'裁判对王栋出手了黄牌                   52'第52分钟，王栋任意球传中制造混乱，冯劲禁区内得球将球传到后门柱，罗歆近距离头球攻门竟然偏出
58'边路徐洋带球突破，传中，禁区内被解围出来                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
58'吴庆禁区前沿拿球，被梁雨犯规                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
59'裁判对伊鸿博出示了黄牌，犯规的是伊鸿博                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
59'力帆前场绝佳任意球机会                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
59'费尔南多主罚，直接射门了，打到人墙上                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
59'被解围出来                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
59'中场拼抢，哈维尔犯规了                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
60'费尔南多带球过来，给到边路冯劲，打到禁区，戈麦斯解围                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
60'两队一直头球争顶                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
61'米罗维奇拿球，建业逼抢很厉害，给到中场，麦克格文被费尔南多撞到在地                   58'第58分钟，河南建业外援哈维尔换下奥斯曼
66'建业这边反击gogogo                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
66'哈维尔给到插入的伊鸿博，抡一脚，球打在防守球员身上出界                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
66'角球机会                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
66'伊沃角球开出来，戈麦斯头球，球被邓小飞抱住                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
67'邓小飞大脚开出来，戈麦斯拿住球                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
67'裁判哨响，戈麦斯推人犯规                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
67'费尔南多一脚直塞，找吉利奥蒂，力量大了，球直接被王国明拿到                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
67'王国明大脚开出来，伊沃停球被夹击，失误了                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
68'力帆打到左边路，徐洋，一对一，给冯劲，再给插入的费尔南多，起脚来一脚，高射炮了                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
68'王国明大脚开出来，费尔南多拿球                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
68'边路利用速度突破，球被防守球员碰出界外                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
69'费尔南多继续拿球，往禁区传，吉利奥蒂拿球，头球一蹭，球被哈维尔断掉                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
69'王栋战术犯规组织哈维尔                   66'第66分钟，河南建业打出快速反击，尹鸿博插入禁区小角度射门被防守队员挡出底线
68'力帆打到左边路，徐洋，一对一，给冯劲，再给插入的费尔南多，起脚来一脚，高射炮了                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
68'王国明大脚开出来，费尔南多拿球                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
68'边路利用速度突破，球被防守球员碰出界外                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
69'费尔南多继续拿球，往禁区传，吉利奥蒂拿球，头球一蹭，球被哈维尔断掉                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
69'王栋战术犯规组织哈维尔                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
70'飞儿安多分球徐洋，起脚传中，球打到防守球员身上出界                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
70'力帆后场倒球                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
71'罗歆拿球，打身后找到徐洋，突破传中，找吉利奥蒂，球被防守球员破坏出界                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
71'角球机会                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
71'王栋角球开出来，罗歆撞到了戈麦斯，犯规了                   68'第68分钟，冯劲禁区前做球，王维成跟进弧线球射门，球稍稍高出
79'双方球员全部围了过来                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
79'力帆球员认为这是一张红牌                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
79'后场起球直接给禁区内维埃拉，推人犯规了                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
80'王国明大脚开出来                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
80'伊鸿博拿球，裁判哨响，前面争顶中，费尔南多犯规了                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
81'这段时间双方身体拼的很凶呀                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
81'伊沃带球，突破，2人防守，伊沃没办法，横传，被断下                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
82'直接长传，准确找到费尔南多，再分边路徐洋，突破，传中，戈麦斯解围                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
82'费尔南多继续拿球                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
82'大范围转移，给到徐洋，再给罗歆，往禁区里传，力量大了                   79'第79分钟，费尔南多带球突破两人防守，顾操故意犯规引发冲突，主裁判向顾操出示黄牌警告
49'角球开出来，后点，被解围出来                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
49'边路徐洋带球突破，横传，失误了                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
49'奥斯曼带球突破，回敲中场牟善韬                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
50'分伊沃，传到禁区，解围出来，再给伊沃，突破起脚打门，球稍稍高出横梁                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
50'邓小飞大脚开出来                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
50'罗歆拿球，分王栋，大范围转移                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
51'费尔南多拿球，分中路吉利奥蒂，再给禁区内的吴庆，球被王国明拿到                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
51'直接长传球找奥斯曼，越位了                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
51'费尔南多边路带球，突然直塞，戈麦斯倒地解围出来                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
52'力帆前场带球，顾操犯规了，前场定位球                   49'补时4分钟，维埃拉扛住防守大力远射，球打在横梁上
