1'上半场比赛开始了                   1'双方第1分钟均显得小心谨慎
17'敦比亚热得发紫啊，从罗马租借而来以后在中央陆军变成了进球机器                   15'莫斯科中央陆军第15分钟取得领先，马夏尔禁区内防守马里奥-费尔南德斯时手球犯规被罚黄牌，埃雷蒙科主罚点球射左下角被德赫亚扑挡后击中左侧立柱弹回，敦比亚小禁区前补射入网
17'替补席上的范加尔脸色铁青                   15'莫斯科中央陆军第15分钟取得领先，马夏尔禁区内防守马里奥-费尔南德斯时手球犯规被罚黄牌，埃雷蒙科主罚点球射左下角被德赫亚扑挡后击中左侧立柱弹回，敦比亚小禁区前补射入网
18'这个球德赫亚已足够出色，但面对补射，他已无能为力                   15'莫斯科中央陆军第15分钟取得领先，马夏尔禁区内防守马里奥-费尔南德斯时手球犯规被罚黄牌，埃雷蒙科主罚点球射左下角被德赫亚扑挡后击中左侧立柱弹回，敦比亚小禁区前补射入网
18'林加德前场拼抢对申尼科夫犯规                   15'莫斯科中央陆军第15分钟取得领先，马夏尔禁区内防守马里奥-费尔南德斯时手球犯规被罚黄牌，埃雷蒙科主罚点球射左下角被德赫亚扑挡后击中左侧立柱弹回，敦比亚小禁区前补射入网
65'林加德包抄跟进，禁区左肋一脚低射，打的太正了                   65'曼联第65分钟扳平比分，埃雷拉直传，瓦伦西亚右路传中，马夏尔11码处俯冲顶出反弹球，皮球击中左侧立柱内侧入网，1-1
65'曼联换人，布林德换下罗霍                   65'曼联第65分钟扳平比分，埃雷拉直传，瓦伦西亚右路传中，马夏尔11码处俯冲顶出反弹球，皮球击中左侧立柱内侧入网，1-1
65'中央陆军中路的进攻，敦比亚分给右侧                   65'曼联第65分钟扳平比分，埃雷拉直传，瓦伦西亚右路传中，马夏尔11码处俯冲顶出反弹球，皮球击中左侧立柱内侧入网，1-1
66'埃雷门科的打门，被德赫亚没收                   65'曼联第65分钟扳平比分，埃雷拉直传，瓦伦西亚右路传中，马夏尔11码处俯冲顶出反弹球，皮球击中左侧立柱内侧入网，1-1
66'曼联破门了                   65'曼联第65分钟扳平比分，埃雷拉直传，瓦伦西亚右路传中，马夏尔11码处俯冲顶出反弹球，皮球击中左侧立柱内侧入网，1-1
66'又是马夏尔，小将马夏尔神了                   65'曼联第65分钟扳平比分，埃雷拉直传，瓦伦西亚右路传中，马夏尔11码处俯冲顶出反弹球，皮球击中左侧立柱内侧入网，1-1
66'来自瓦伦西亚的助攻                   65'曼联第65分钟扳平比分，埃雷拉直传，瓦伦西亚右路传中，马夏尔11码处俯冲顶出反弹球，皮球击中左侧立柱内侧入网，1-1
67'瓦伦西亚右路下底，传中给出了高质量，托西奇防守不利，马夏尔禁区中路机敏的甩头攻门，角度非常刁钻，击中远门柱弹入网窝，阿金费耶夫扑救不及                   65'曼联第65分钟扳平比分，埃雷拉直传，瓦伦西亚右路传中，马夏尔11码处俯冲顶出反弹球，皮球击中左侧立柱内侧入网，1-1
68'失球之后阿金费耶夫也是冲出禁区大声的批评队友的防守                   65'曼联第65分钟扳平比分，埃雷拉直传，瓦伦西亚右路传中，马夏尔11码处俯冲顶出反弹球，皮球击中左侧立柱内侧入网，1-1
55'硬汉费莱尼人仰马翻之后还不忘给对手来上一下，中央陆军的球员也是吃了暗亏                   55'德佩最后10分钟替换林加德出场
55'中央陆军的长传，罗霍争抢头球落点判断不准，球是打在了他的手臂上                   55'德佩最后10分钟替换林加德出场
56'不过裁判没有看清楚                   55'德佩最后10分钟替换林加德出场
56'埃雷拉中路拿球，交给施耐德林                   55'德佩最后10分钟替换林加德出场
56'埃雷拉今天在进攻中比较消沉，看不到他的身影                   55'德佩最后10分钟替换林加德出场
57'费莱尼前场得球，交给左路的马夏尔                   55'德佩最后10分钟替换林加德出场
57'马夏尔一拿球对方立刻两名球员上来防                   55'德佩最后10分钟替换林加德出场
57'马夏尔没有机会，转身回敲                   55'德佩最后10分钟替换林加德出场
58'曼联左路的斜传，禁区内伊格纳舍维奇头球解围出来                   55'德佩最后10分钟替换林加德出场
58'外围埃雷拉在埃雷门科的干扰下远射打飞                   55'德佩最后10分钟替换林加德出场
58'终于是看到了埃雷拉的镜头啊                   55'德佩最后10分钟替换林加德出场
