随着主裁判一声哨响,上半场比赛开始.
51'埃弗顿球员阿尼切贝大禁区外右脚射门,被防守球员封堵.
52'利物浦球员阿格尔大禁区外左脚射门,被防守球员封堵.给他传球的是斯图里奇.
55'何塞-恩里克将球处理出底线,埃弗顿获得角球.
56'埃弗顿球员阿尼切贝拼抢犯规,对手获得控球权.
56'雷纳为利物浦赢得一个任意球.
56'埃弗顿球员阿尼切贝被主裁判出示了一张黄牌.
57'利物浦球员雷纳一脚直塞球给唐宁,但是边裁举旗显示后者已经越位.
58'埃弗顿球员拜恩斯一脚直塞球给皮纳尔,但是边裁举旗显示后者已经越位.
58'利物浦球员何塞-恩里克一脚直塞球给斯图里奇,但是边裁举旗显示后者已经越位.
59'射门!!!利物浦球员库蒂尼奥大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是斯图里奇.
64'埃弗顿球员奥斯曼大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是皮纳尔.
64'埃弗顿球员米纳拉斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是费莱尼.
66'利物浦换人,博里尼换下亨德森
69'埃弗顿球员费莱尼大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿尼切贝.
69'埃弗顿球员米纳拉斯拼抢犯规,对手获得控球权.
69'博里尼为利物浦在对方半场,赢得一个任意球.
70'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.
71'迪斯汀将球处理出底线,利物浦获得角球.
71'埃弗顿球员米纳拉斯拼抢犯规,对手获得控球权.
71'杰拉德为利物浦在右路,赢得一个任意球.
72'利物浦球员阿格尔大禁区中央尝试头球,可惜皮球偏出球门.
73'利物浦球员库蒂尼奥大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.
74'利物浦球员杰拉德球门左侧小角度左脚射门,被防守球员封堵.给他传球的是斯图里奇.
74'迪斯汀将球处理出底线,利物浦获得角球.
75'埃弗顿换人,耶拉维奇换下米纳拉斯
78'埃弗顿球员奥斯曼手球犯规,对手获得球权.
79'利物浦换人,斯科特尔换下唐宁
79'利物浦球员阿格尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是杰拉德.
80'利物浦阿格尔受伤倒地,比赛暂停
80'暂停结束,球员们重新开始比赛.
85'埃弗顿球员阿尼切贝拼抢犯规,对手获得控球权.
85'格伦-约翰逊为利物浦赢得一个任意球.
85'奥斯曼为埃弗顿赢得一个任意球.
85'利物浦球员何塞-恩里克拼抢犯规,对手获得控球权.
87'射门!!!埃弗顿球员阿尼切贝大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮纳尔.
87'雷纳将球处理出底线,埃弗顿获得角球.
88'拜恩斯为埃弗顿在左路,赢得一个任意球.
88'利物浦球员博里尼拼抢犯规,对手获得控球权.
88'黄牌！利物浦球员博里尼因为恶意犯规,被主裁判出示黄牌.
90'拜恩斯为埃弗顿在左路,赢得一个任意球.
90'利物浦球员杰拉德拼抢犯规,对手获得控球权.
90'+1'利物浦球员博里尼大禁区外右脚射门,被防守球员封堵.给他传球的是阿格尔.
90'+1'埃弗顿球员奥斯曼拼抢犯规,对手获得控球权.
90'+1'库蒂尼奥为利物浦在对方半场,赢得一个任意球.
90'+1'黄牌！埃弗顿球员奥斯曼因为恶意犯规,被主裁判出示黄牌.
90'+3'拜恩斯为埃弗顿在左路,赢得一个任意球.
90'+3'利物浦球员格伦-约翰逊拼抢犯规,对手获得控球权.
90'+4'下半场结束,利物浦 0-0 埃弗顿
全场比赛结束,利物浦 0-0 埃弗顿,谢谢各位收看新浪足球直播.
