1'多特蒙德球员阿德里安-拉莫斯拼抢犯规,对手获得控球权.                   1'第1分钟，首次代表客队先发的莱斯卡诺几乎形成单刀，但胡梅尔斯及时下铲救险
71'黄牌！多特蒙德球员皮什切克因为恶意犯规,被主裁判出示黄牌.                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
71'黄牌！多特蒙德球员皮什切克因为恶意犯规,被主裁判出示黄牌.                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
86'进球啦！！！多特蒙德球员奥巴梅扬大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是卡斯特罗. 多特蒙德 2-0 因戈尔施塔特.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
86'进球啦！！！多特蒙德球员奥巴梅扬大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是卡斯特罗. 多特蒙德 2-0 因戈尔施塔特.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
88'因戈尔施塔特换人,科恩换下Darío Lezcano                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
88'因戈尔施塔特换人,科恩换下Darío Lezcano                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
88'因戈尔施塔特球员丹尼-达科斯塔大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Romain Brégerie.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
88'因戈尔施塔特球员丹尼-达科斯塔大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Romain Brégerie.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
89'因戈尔施塔特球员克里斯蒂安森拼抢犯规,对手获得控球权.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
89'因戈尔施塔特球员克里斯蒂安森拼抢犯规,对手获得控球权.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
89'姆希塔良为多特蒙德赢得一个任意球.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
89'姆希塔良为多特蒙德赢得一个任意球.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
89'因戈尔施塔特球员鲍尔拼抢犯规,对手获得控球权.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
89'因戈尔施塔特球员鲍尔拼抢犯规,对手获得控球权.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
89'姆希塔良为多特蒙德在右路,赢得一个任意球.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
89'姆希塔良为多特蒙德在右路,赢得一个任意球.                   86'第86分钟，卡斯特罗直传禁区左侧，奥巴梅扬左脚低射入远角，2比0 ，他本赛季代表俱乐部和国家队已经打进30球，联赛20球已超越上赛季德甲射手王进球数(迈尔19球)
