1'上半场比赛开始！                   1'第1分钟，两队直接进入高节奏对抗
61'里贝里还在左路得球，回传给队友                   61'拜仁第61分钟错过进球，里贝里禁区左侧回做，阿隆索在门前20米处左脚抽射击中远端门楣
62'里贝里外围远射，击中了横梁反弹却没有越过门线                   61'拜仁第61分钟错过进球，里贝里禁区左侧回做，阿隆索在门前20米处左脚抽射击中远端门楣
62'博阿滕带球到前场，直传，莱万多夫斯基拿好球                   61'拜仁第61分钟错过进球，里贝里禁区左侧回做，阿隆索在门前20米处左脚抽射击中远端门楣
62'莱万多夫斯基一顺，拉姆传中被解围                   61'拜仁第61分钟错过进球，里贝里禁区左侧回做，阿隆索在门前20米处左脚抽射击中远端门楣
63'这边拜仁因为解围失误，送对方角球                   61'拜仁第61分钟错过进球，里贝里禁区左侧回做，阿隆索在门前20米处左脚抽射击中远端门楣
63'皮什切克过来主罚                   61'拜仁第61分钟错过进球，里贝里禁区左侧回做，阿隆索在门前20米处左脚抽射击中远端门楣
71'回给博阿滕，传右路                   71'多特第71分钟错失良机，阿隆索中场回传失误，奥巴梅扬断球高速起动超越胡梅尔斯和博阿滕，单刀突入禁区距门11米处左脚推射被诺伊尔封出
71'道格拉斯-科斯塔被绊倒                   71'多特第71分钟错失良机，阿隆索中场回传失误，奥巴梅扬断球高速起动超越胡梅尔斯和博阿滕，单刀突入禁区距门11米处左脚推射被诺伊尔封出
72'阿隆索回传失误，奥巴梅扬前插得球，单刀了，可惜射门打太正被诺伊尔将球没收                   71'多特第71分钟错失良机，阿隆索中场回传失误，奥巴梅扬断球高速起动超越胡梅尔斯和博阿滕，单刀突入禁区距门11米处左脚推射被诺伊尔封出
72'莱万多夫斯基拉到左路拿球，被杜尔姆换下                   71'多特第71分钟错失良机，阿隆索中场回传失误，奥巴梅扬断球高速起动超越胡梅尔斯和博阿滕，单刀突入禁区距门11米处左脚推射被诺伊尔封出
74'拜仁获得一个角球机会                   71'多特第71分钟错失良机，阿隆索中场回传失误，奥巴梅扬断球高速起动超越胡梅尔斯和博阿滕，单刀突入禁区距门11米处左脚推射被诺伊尔封出
88'主裁判走到场边与助理裁判交流后，准备拔牌                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
88'向拉莫斯与里贝里各发一张黄牌                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
89'好了，比赛恢复                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
89'布尔基发球上来，拉莫斯头球后蹭                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
89'拜仁 的控球                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
89'蒂亚戈分给阿拉巴                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
90'里贝里左路带球急停回传                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
90'再传中，可惜多特蒙德的球员跳走了                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
91'奥巴梅扬沿边路带球，被胡梅尔斯拦截                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
91'下半场补时4分钟                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
91'帕帕斯塔索普洛斯的防守很硬朗，将球踢出边线                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
91'桑切斯对皮什切克犯规                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
91'.桑切斯吃到黄牌                   88'第88分钟，双方球员发生摩擦，里贝里和拉莫斯吃到黄牌
