1'利物浦中圈开球，上半场比赛开始了！                   1'双方第1分钟对抗激烈
71'瓦里斯分球禁区里左侧的索亚雷斯！                   69'第69分钟，米尔纳禁区左侧传中，菲尔米诺10码处低射左下角入网，4-0
72'索亚雷斯一脚直塞球给到禁区内中路！                   69'第69分钟，米尔纳禁区左侧传中，菲尔米诺10码处低射左下角入网，4-0
72'马雷加插上起脚打门！被范迪克挡出了底线！                   69'第69分钟，米尔纳禁区左侧传中，菲尔米诺10码处低射左下角入网，4-0
72'波尔图的左侧角球！                   69'第69分钟，米尔纳禁区左侧传中，菲尔米诺10码处低射左下角入网，4-0
85'马内分球前场左路罗伯逊！                   85'第85分钟，因斯传球，马内禁区弧顶劲射右下角入网，5-0
85'罗伯逊横敲前场中路马内！                   85'第85分钟，因斯传球，马内禁区弧顶劲射右下角入网，5-0
86'马内禁区前沿右脚爆射打门！！                   85'第85分钟，因斯传球，马内禁区弧顶劲射右下角入网，5-0
86'GOOOOOOOOOOOOOOOAL！！！                   85'第85分钟，因斯传球，马内禁区弧顶劲射右下角入网，5-0
86'利物浦5-0波尔图！                   85'第85分钟，因斯传球，马内禁区弧顶劲射右下角入网，5-0
88'马尔卡诺低平球斜传给前场中路！                   85'第85分钟，因斯传球，马内禁区弧顶劲射右下角入网，5-0
88'罗伯逊争抢犯规了！                   85'第85分钟，因斯传球，马内禁区弧顶劲射右下角入网，5-0
88'波尔图后场右侧任意球！                   85'第85分钟，因斯传球，马内禁区弧顶劲射右下角入网，5-0
88'开球给左路的特莱斯！                   85'第85分钟，因斯传球，马内禁区弧顶劲射右下角入网，5-0
