1'马基尼奥为罗马赢得一个任意球.                   1'赛前为1周前去世的罗马名人堂成员、前意大利国脚阿马代伊默哀1分钟
76'罗马球员麦孔大禁区中央右脚射门,被防守球员封堵.                   76'第76分钟，罗马右侧开出角球，卡斯坦右路传中，布拉德利冲顶入网，但被判越位在先
76'罗马球员卡斯坦一脚直塞球给布拉德利,但是边裁举旗显示后者已经越位.                   76'第76分钟，罗马右侧开出角球，卡斯坦右路传中，布拉德利冲顶入网，但被判越位在先
77'卡尼尼将球处理出底线,罗马获得角球.                   76'第76分钟，罗马右侧开出角球，卡斯坦右路传中，布拉德利冲顶入网，但被判越位在先
77'卡尼尼为亚特兰大赢得一个任意球.                   76'第76分钟，罗马右侧开出角球，卡斯坦右路传中，布拉德利冲顶入网，但被判越位在先
77'罗马球员斯特罗特曼拼抢犯规,对手获得控球权.                   76'第76分钟，罗马右侧开出角球，卡斯坦右路传中，布拉德利冲顶入网，但被判越位在先
78'丹尼斯为亚特兰大在对方半场,赢得一个任意球.                   76'第76分钟，罗马右侧开出角球，卡斯坦右路传中，布拉德利冲顶入网，但被判越位在先
78'罗马球员贝纳蒂亚拼抢犯规,对手获得控球权.                   76'第76分钟，罗马右侧开出角球，卡斯坦右路传中，布拉德利冲顶入网，但被判越位在先
78'罗马球员贝纳蒂亚被主裁判出示了一张黄牌.                   76'第76分钟，罗马右侧开出角球，卡斯坦右路传中，布拉德利冲顶入网，但被判越位在先
81'射门!!!亚特兰大球员科内大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是博纳文图拉.                   81'第81分钟，科内斜射被德桑克蒂斯倒地化解
84'射门!!!罗马球员斯特罗特曼大禁区外左脚射门,被对方守门员横身扑出.给他传球的是热尔维尼奥.                   81'第81分钟，科内斜射被德桑克蒂斯倒地化解
84'丹尼斯为亚特兰大在对方半场,赢得一个任意球.                   81'第81分钟，科内斜射被德桑克蒂斯倒地化解
84'罗马球员贝纳蒂亚拼抢犯规,对手获得控球权.                   81'第81分钟，科内斜射被德桑克蒂斯倒地化解
89'射门!!!罗马球员热尔维尼奥大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是里奇.                   89'第89分钟，里奇传过顶球，热尔维尼奥射门又被反应奇快的孔西利扑出
89'射门!!!罗马球员热尔维尼奥大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是里奇.                   89'第89分钟，里奇传过顶球，热尔维尼奥射门又被反应奇快的孔西利扑出
90'进球啦！！！罗马球员斯特罗特曼球门线跟前右脚射门,球从右下角飞进球门,球进了!助攻的是利亚伊奇. 亚特兰大 1-1 罗马.                   89'第89分钟，里奇传过顶球，热尔维尼奥射门又被反应奇快的孔西利扑出
90'+1'罗马球员利亚伊奇在禁区内摔倒了,但裁判判他假摔！                   89'第89分钟，里奇传过顶球，热尔维尼奥射门又被反应奇快的孔西利扑出
90'+1'罗马球员利亚伊奇被主裁判出示了一张黄牌.                   89'第89分钟，里奇传过顶球，热尔维尼奥射门又被反应奇快的孔西利扑出
90'+3'亚特兰大球员莫拉雷斯拼抢犯规,对手获得控球权.                   89'第89分钟，里奇传过顶球，热尔维尼奥射门又被反应奇快的孔西利扑出
90'+3'贝纳蒂亚为罗马赢得一个任意球.                   89'第89分钟，里奇传过顶球，热尔维尼奥射门又被反应奇快的孔西利扑出
90'+4'下半场结束,亚特兰大 1-1 罗马                   89'第89分钟，里奇传过顶球，热尔维尼奥射门又被反应奇快的孔西利扑出
