1'上半场比赛开始了~                   1'巴萨第1分钟就开始掌控比赛
33'塞维利亚边路传中~~~                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
33'阿尔巴赶紧的解围                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
45'梅西挑传~~                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
45'阿尔巴形成了单刀！！！                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
45'阿尔巴横敲，后卫将球挡出了底线                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
46'战术角球~                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
46'内马尔禁区内接到了中路的直塞~面对门将一脚推射！！！                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
46'门将做出了关键的扑救~~~                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
46'下半场比赛开始了~                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
46'两队都没有做出人员调整                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
47'科克带球过了中场                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
47'乌龙~~~                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
47'拉基蒂奇...                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
47'额，是阿尔巴                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
48'维特洛过掉了皮克之后传中~前点包抄的球员没能碰到皮球，门前的阿尔巴躲闪不及，将球碰入了自家球门                   45'第45分钟，梅西精准挑传，阿尔巴突入禁区左侧小角度传射从贝托双腿间穿过，但卡里科空门前及时抢先铲球解围
47'科克带球过了中场                   47'塞维利亚第47分钟扳平比分，比托洛左路连续突破阿尔维斯和皮克后传中，丹尼斯-苏亚雷斯前点捅射落空，但皮球打在阿尔巴腿上偏转入巴萨大门，1-1
47'乌龙~~~                   47'塞维利亚第47分钟扳平比分，比托洛左路连续突破阿尔维斯和皮克后传中，丹尼斯-苏亚雷斯前点捅射落空，但皮球打在阿尔巴腿上偏转入巴萨大门，1-1
47'拉基蒂奇...                   47'塞维利亚第47分钟扳平比分，比托洛左路连续突破阿尔维斯和皮克后传中，丹尼斯-苏亚雷斯前点捅射落空，但皮球打在阿尔巴腿上偏转入巴萨大门，1-1
47'额，是阿尔巴                   47'塞维利亚第47分钟扳平比分，比托洛左路连续突破阿尔维斯和皮克后传中，丹尼斯-苏亚雷斯前点捅射落空，但皮球打在阿尔巴腿上偏转入巴萨大门，1-1
48'维特洛过掉了皮克之后传中~前点包抄的球员没能碰到皮球，门前的阿尔巴躲闪不及，将球碰入了自家球门                   47'塞维利亚第47分钟扳平比分，比托洛左路连续突破阿尔维斯和皮克后传中，丹尼斯-苏亚雷斯前点捅射落空，但皮球打在阿尔巴腿上偏转入巴萨大门，1-1
49'苏亚雷斯带球，对方后卫拉人犯规了                   47'塞维利亚第47分钟扳平比分，比托洛左路连续突破阿尔维斯和皮克后传中，丹尼斯-苏亚雷斯前点捅射落空，但皮球打在阿尔巴腿上偏转入巴萨大门，1-1
49'内马尔~~~                   47'塞维利亚第47分钟扳平比分，比托洛左路连续突破阿尔维斯和皮克后传中，丹尼斯-苏亚雷斯前点捅射落空，但皮球打在阿尔巴腿上偏转入巴萨大门，1-1
49'Goooooooooooooooooooooooal~~~~                   47'塞维利亚第47分钟扳平比分，比托洛左路连续突破阿尔维斯和皮克后传中，丹尼斯-苏亚雷斯前点捅射落空，但皮球打在阿尔巴腿上偏转入巴萨大门，1-1
50'又是定位球机会，哈维的传中落点刚好~~~内马尔几乎是无人盯防的情况下头球攻门！飞入了球门右下角                   47'塞维利亚第47分钟扳平比分，比托洛左路连续突破阿尔维斯和皮克后传中，丹尼斯-苏亚雷斯前点捅射落空，但皮球打在阿尔巴腿上偏转入巴萨大门，1-1
65'拉基蒂奇~~~                   65'巴萨第65分钟扩大比分，皮克长传，苏亚雷斯禁区右侧传中，前塞维利亚中场拉基蒂奇远点头球破门，3-1
65'Gooooooooooooooooooal~~~                   65'巴萨第65分钟扩大比分，皮克长传，苏亚雷斯禁区右侧传中，前塞维利亚中场拉基蒂奇远点头球破门，3-1
65'又是苏亚雷斯的助攻~~~                   65'巴萨第65分钟扩大比分，皮克长传，苏亚雷斯禁区右侧传中，前塞维利亚中场拉基蒂奇远点头球破门，3-1
66'苏牙再这么打下去，会成为西甲助攻王啊                   65'巴萨第65分钟扩大比分，皮克长传，苏亚雷斯禁区右侧传中，前塞维利亚中场拉基蒂奇远点头球破门，3-1
66'接到了皮克的中场直塞，苏牙底线传中~后点拉基蒂奇拍马赶到头球破门                   65'巴萨第65分钟扩大比分，皮克长传，苏亚雷斯禁区右侧传中，前塞维利亚中场拉基蒂奇远点头球破门，3-1
72'塞维利亚的反击                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
72'速度慢了下来                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
72'球被断了                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
72'前场3打2                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
72'梅西~~~                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
72'Goooooooooooooooooooooal~~~                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
72'苏亚雷斯还是没能进球                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
73'梅西终于打破了萨拉的进球纪录                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
73'成为了西甲射手第一人                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
74'梅西策动反击，撞墙式配合~内马尔接球之后没有贪功而是横传门前~~~两点包抄之下梅西倒地铲射将球送入了空门                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
74'佩德罗上来了                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
74'应该是换下了苏亚雷斯                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
74'拉菲尼亚也要准备登场                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
75'佩德罗才上场就有机会                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
75'停大了~~~门将出击                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
75'佩德罗只能选择传中                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
75'而包抄的内马尔头球没有顶正                   72'第72分钟迎来历史性时刻，梅西反击中直传，内马尔禁区左侧面对单刀机会无私传回，梅西近距离铲射空门入网，4-1
78'塞维利亚已经被打花了                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
78'梅西的横向盘带~跟内马尔一个撞墙之后梅西左脚抽射~~~禁区线上将球送入了球门左下角                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
78'创造西甲进球纪录的这一天~                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
79'怎么能够不上演帽子戏法将球收藏呢                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
79'诺坎普的球迷兴奋的做起了人浪                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
80'阿尔巴逼得了一个角球                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
80'巴萨继续换人                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
80'阿德里亚诺上场                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
80'换下了阿尔巴                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
80'虽然不慎打进了乌龙球                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
81'但是阿尔巴在攻防两端的表现其实非常出色                   78'第78分钟，梅西右路内切后传球，内马尔回停，梅西禁区边缘劲射左下角入网，5-1
