2'博内拉将球处理出底线,凯尔特人获得角球.                   2'开场2分钟，马尔格鲁开出角球，布里赫特后点打偏
38'凯尔特人球员马尔格鲁拼抢犯规,对手获得控球权.                   37'第37分钟，康芒斯禁区边缘遭铲断，马尔格鲁右侧得球左脚推射被阿比亚蒂倒地没收
38'卡卡为AC米兰赢得一个任意球.                   37'第37分钟，康芒斯禁区边缘遭铲断，马尔格鲁右侧得球左脚推射被阿比亚蒂倒地没收
39'凯尔特人球员鲁斯蒂格拼抢犯规,对手获得控球权.                   37'第37分钟，康芒斯禁区边缘遭铲断，马尔格鲁右侧得球左脚推射被阿比亚蒂倒地没收
39'卡卡为AC米兰赢得一个任意球.                   37'第37分钟，康芒斯禁区边缘遭铲断，马尔格鲁右侧得球左脚推射被阿比亚蒂倒地没收
39'AC米兰球员波利一脚直塞球给巴洛特利,但是边裁举旗显示后者已经越位.                   37'第37分钟，康芒斯禁区边缘遭铲断，马尔格鲁右侧得球左脚推射被阿比亚蒂倒地没收
49'鲁斯蒂格将球处理出底线,AC米兰获得角球.                   49'第49分钟，比尔萨右侧开出角球，诺切里诺后点距门10米处左脚斜射，萨帕塔右门柱边推进空门，2比0
49'进球啦！！！AC米兰球员萨帕塔球门线跟前右脚射门,球从右下角飞进球门,球进了!助攻的是诺切里诺. 凯尔特人 0-2 AC米兰.                   49'第49分钟，比尔萨右侧开出角球，诺切里诺后点距门10米处左脚斜射，萨帕塔右门柱边推进空门，2比0
51'博内拉将球处理出底线,凯尔特人获得角球.                   49'第49分钟，比尔萨右侧开出角球，诺切里诺后点距门10米处左脚斜射，萨帕塔右门柱边推进空门，2比0
51'凯尔特人球员莱德利一脚直塞球给范-迪吉克,但是边裁举旗显示后者已经越位.                   49'第49分钟，比尔萨右侧开出角球，诺切里诺后点距门10米处左脚斜射，萨帕塔右门柱边推进空门，2比0
52'安布罗塞为凯尔特人赢得一个任意球.                   49'第49分钟，比尔萨右侧开出角球，诺切里诺后点距门10米处左脚斜射，萨帕塔右门柱边推进空门，2比0
52'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   49'第49分钟，比尔萨右侧开出角球，诺切里诺后点距门10米处左脚斜射，萨帕塔右门柱边推进空门，2比0
59'凯尔特人球员莱德利拼抢犯规,对手获得控球权.                   59'第59分钟，蒙托利沃后场右路长传，巴洛特利突入禁区右侧扛住安布罗斯，在门前6米处小角度推射入远角，3比0
59'诺切里诺为AC米兰赢得一个任意球.                   59'第59分钟，蒙托利沃后场右路长传，巴洛特利突入禁区右侧扛住安布罗斯，在门前6米处小角度推射入远角，3比0
59'进球啦！！！AC米兰球员巴洛特利小禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是蒙托利沃. 凯尔特人 0-3 AC米兰.                   59'第59分钟，蒙托利沃后场右路长传，巴洛特利突入禁区右侧扛住安布罗斯，在门前6米处小角度推射入远角，3比0
62'AC米兰球员巴洛特利危险动作,对手获得控球权.                   59'第59分钟，蒙托利沃后场右路长传，巴洛特利突入禁区右侧扛住安布罗斯，在门前6米处小角度推射入远角，3比0
62'博里格特为凯尔特人赢得一个任意球.                   59'第59分钟，蒙托利沃后场右路长传，巴洛特利突入禁区右侧扛住安布罗斯，在门前6米处小角度推射入远角，3比0
62'凯尔特人球员詹姆斯-福雷斯特大禁区中央右脚射门,命中门柱左侧立柱.给他传球的是鲁斯蒂格.                   59'第59分钟，蒙托利沃后场右路长传，巴洛特利突入禁区右侧扛住安布罗斯，在门前6米处小角度推射入远角，3比0
62'AC米兰球员巴洛特利危险动作,对手获得控球权.                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
62'博里格特为凯尔特人赢得一个任意球.                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
62'凯尔特人球员詹姆斯-福雷斯特大禁区中央右脚射门,命中门柱左侧立柱.给他传球的是鲁斯蒂格.                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
63'巴洛特利为AC米兰赢得一个任意球.                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
63'凯尔特人球员范-迪吉克拼抢犯规,对手获得控球权.                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
63'黄牌！凯尔特人球员范-迪吉克因为恶意犯规,被主裁判出示黄牌.                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
65'巴洛特利为AC米兰在右路,赢得一个任意球.                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
65'凯尔特人球员伊扎古雷拼抢犯规,对手获得控球权.                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
65'黄牌！凯尔特人球员伊扎古雷因为恶意犯规,被主裁判出示黄牌.                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
65'凯尔特人换人,斯托克斯换下康蒙斯                   62'第62分钟，福里斯特突入禁区右侧距门9米处铲射偏出远门柱
68'埃马纽尔森将球处理出底线,凯尔特人获得角球.                   68'第68分钟，马尔格鲁传球，范戴克头球被封堵
68'凯尔特人球员范-迪吉克大禁区中央头球,被防守球员封堵.给他传球的是马尔格鲁.                   68'第68分钟，马尔格鲁传球，范戴克头球被封堵
68'凯尔特人球员斯托克斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是伊扎古雷.                   68'第68分钟，马尔格鲁传球，范戴克头球被封堵
69'AC米兰球员巴洛特利一脚直塞球给卡卡,但是边裁举旗显示后者已经越位.                   68'第68分钟，马尔格鲁传球，范戴克头球被封堵
70'AC米兰球员波利拼抢犯规,对手获得控球权.                   68'第68分钟，马尔格鲁传球，范戴克头球被封堵
70'伊扎古雷为凯尔特人赢得一个任意球.                   68'第68分钟，马尔格鲁传球，范戴克头球被封堵
71'凯尔特人球员鲁斯蒂格大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是伊扎古雷.                   68'第68分钟，马尔格鲁传球，范戴克头球被封堵
