13'在交给布林德，中路给鲁尼，扎哈拼抢下来                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
38'右侧战术角球，马塔在给到禁区                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
39'传的有点大，左侧布林德在救回来                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
39'分给身旁博格巴，传球被断                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
39'反击过来，扎哈右路衔枚疾走                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
39'过掉卡里克，前场继续狂奔，内切被罗霍铲翻在地                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
39'罗霍吃到黄牌                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
40'右侧定位球，，卡巴耶开起来                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
40'禁区内本特克头球摆渡，麦克阿瑟后点垫射，偏出                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
40'德赫亚大脚开出                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
40'前场左侧博格巴护球，转身被拉倒                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
40'扎哈犯规了                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
40'定位球迅速开出，中路给卡里克                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
40'在交给前面的伊布，护球转身，再挑向禁区                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
41'被丹恩解围出去                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
41'埃雷拉外围拿球，过渡给到右侧                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
41'拜利斜45度吊向禁区，第一点被德莱尼顶出                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
41'鲁尼左侧在给布林德，回敲身后博格巴                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
41'在给到埃雷拉，转移到禁区右肋                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
46'上半场精彩场面还是太少啊                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
46'博格巴左侧分给布林德，中路给到卡里克                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
46'前场快速推进，左侧布林德被凯利直接掀翻在地                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
46'凯利吃到黄牌                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
46'左侧定位球开入到禁区，，，进球了                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
47'上半场补时阶段，博格巴建功                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
47'曼联左侧定位球，马塔送入禁区，伊布胸部一停直接做到门前，球碰到丹恩之后稍有变向，博格巴小禁区内跟上轻松扫射破网                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
46'下半场开始，水晶宫开球                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
46'本特克回敲给德莱尼，长传到前场                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
46'右侧拼抢，麦克阿瑟把球控制下来                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
46'右侧传中进去，后点本特克护住救回来                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
47'回敲到弧顶中央给到莱德利                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
47'莱德利外围趟了一步，大力低射，，稍稍偏出啊，，危险                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
47'曼联中路组织，埃雷拉在给马塔                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
47'右侧交给拜利，横向转移给到罗霍                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
48'左侧再分布林德被碰出边线                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
48'曼联界外球直接扔到前场，凯利回敲亨尼西                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
48'大脚开出，埃雷拉回敲给到德赫亚                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
48'大脚开起来，中圈水晶宫把球抢下来                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
49'莱德利在给身边麦克阿瑟，分到卡巴耶                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
49'中路搓入禁区，挑进来本特克顶了一下，出了底线                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
49'德赫亚大脚开出                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
49'拼抢中鲁尼把球碰出界外                   46'46分钟，比赛僵局终于被打破，水晶宫后卫凯利踩倒布林德吃到一张黄牌并送给曼联禁区外左翼的一个任意球，马塔主罚将球送入禁区，伊布用身体一垫，皮球击中水晶宫后卫沃德后落到博格巴脚下，法国人小禁区右脚推射破门，曼联1-0取得领先
51'曼联打到前场，伊布前场一捅，球是到了亨尼西面前                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
51'曼联继续进攻，鲁尼右侧给到拜利                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
51'再横敲给博格巴，过渡给右侧马塔                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
51'身边伊布来接应，在交给埃雷拉                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
51'回敲卡里克，挑传到右肋                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
52'拜利插上没有拿到，直接出了底线                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
52'拜利跌坐在草坪上，伸手示意换人，坚持不住了                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
52'拜利受伤被达米安替下                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
53'沃德后场交给德莱尼，长传放到前场                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
53'凯利右侧拿球，在给身边扎哈                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
53'横传被挡出，麦克阿瑟得球，交左侧李青龙                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
53'中路在给莱德利，交给卡巴耶                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
54'搓入禁区，本特克插上抢点，顶人犯规                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
54'德赫亚大脚开出                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
54'布林德左侧得球，禁区前沿挑传找博格巴                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
54'博格巴插上拼抢撞翻德莱尼犯规                   51'第51分钟，上半场受伤的拜利无法坚持比赛，被达米安换下
56'埃雷拉在给罗霍，长传到前场                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
56'博格巴分到布林德脚下，传中前点被挡                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
57'外围卡巴耶左侧分给李青龙，斜传被卡里克断下                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
57'曼联迅速的进攻，中路鲁尼衔枚疾走                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
57'德莱尼上抢和鲁尼撞了个满怀，阻挡犯规                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
57'鲁尼倒在地上也是缓冲了半天才起来                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
58'林加德，拉什福德开始起来热身                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
58'伊布主罚这个定位球，比较远。。但还是选择直接射                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
58'右脚大力爆杆，，势大力沉，但是偏出不少                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
58'亨尼西大脚开出                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
59'博格巴把球断下，交给埃雷拉，挑传右侧达米安前插头球顶出界外                   56'56分钟，鲁尼被德拉尼放倒，曼联获得了一个禁区前沿的任意球，伊布的直接攻门踢偏
66'第一点还是被解围出去                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
66'外围沃德在给莱德利，插上横敲到中路，，进球了                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
67'水晶宫漂亮的配合，最后由麦克阿瑟破门                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
68'水晶宫左侧突然加速，沃德和莱德利配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
68'双方回到同一起跑线，帕杜也是显得很兴奋                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
68'伊布左侧护球，禁区前沿做给鲁尼                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
69'鲁尼禁区前圆月弯刀，射的比较刁钻，但又是被亨尼西扑出底线                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
69'左侧角球开出                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
69'禁区内琼斯头球摆渡，莱德利一掌把球打出去                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
69'曼联球员向鲍森要点球，，，但是鲍森居然没吹                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
69'曼联继续攻                   66'66分钟，水晶宫扳平比分，沃德和莱德利左翼打出配合，低球横敲到禁区线附近，德莱尼脚后跟妙传，麦克阿瑟左肋插上，单刀破门，1-1
72'定位球给出来                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
72'左侧罗霍在给卡里克，分给林加德                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
72'右侧再找埃雷拉，低球往前走                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
72'禁区前沿的渗透被水晶宫解围                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
72'卡里克右侧在给琼斯，继续压上                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
72'左侧罗霍交给身前博格巴，转到右路达米安                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
72'达米安拿球斜吊禁区                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
73'鲁尼小禁区前跟上，包抄射门，没打上，，踢呲了                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
73'亨尼西把球收走，大脚开出                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
73'达米安回敲给德赫亚，再交出来                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
73'长传给到鲁尼，回敲埃雷拉，右侧在给琼斯                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
74'转到左侧罗霍，往前分给博格巴，右侧埃雷拉                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
74'下底倒三角回敲被卡巴耶断下                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
74'丹恩后场长传直接飞出边线                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
75'水晶宫扳平之后曼联有点力不从心了，进攻有点散乱                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
75'伊布拼抢被卡巴耶拉拽，卡巴耶犯规                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
75'鲁尼右侧交给达米安，回敲给身后                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
75'埃雷拉斜吊禁区，鲁尼头球摆渡                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
75'林加德禁区右肋停球，被德莱尼上抢，捅出底线                   72'第72分钟，达米安在右边路传中，可惜鲁尼接应打门时没能吃正部位，打不上力量
46'上半场精彩场面还是太少啊                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
46'博格巴左侧分给布林德，中路给到卡里克                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
46'前场快速推进，左侧布林德被凯利直接掀翻在地                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
46'凯利吃到黄牌                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
46'左侧定位球开入到禁区，，，进球了                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
47'上半场补时阶段，博格巴建功                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
