4'奎利亚尔将球处理出底线,利物浦获得角球.                   4'第4分钟，亨德森传球，苏亚雷斯突破至禁区弧顶的射门偏出
36'进球啦！！！利物浦球员苏亚雷斯球门线跟前右脚射门,球从左下角飞进球门,球进了!助攻的是斯图里奇. 桑德兰 0-2 利物浦.                   36'利物浦第36分钟扩大比分，斯图里奇突入禁区右侧传中，无人防守的苏亚雷斯近距离打入空门，2-0
38'利物浦球员萨科奥手球犯规,对手获得球权.                   36'利物浦第36分钟扩大比分，斯图里奇突入禁区右侧传中，无人防守的苏亚雷斯近距离打入空门，2-0
39'桑德兰球员加德纳大禁区外右脚射门,被防守球员封堵.给他传球的是S-拉尔森.                   36'利物浦第36分钟扩大比分，斯图里奇突入禁区右侧传中，无人防守的苏亚雷斯近距离打入空门，2-0
39'摩西将球处理出底线,桑德兰获得角球.                   36'利物浦第36分钟扩大比分，斯图里奇突入禁区右侧传中，无人防守的苏亚雷斯近距离打入空门，2-0
52'桑德兰球员约翰逊大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是贾凯里尼.                   52'桑德兰第52分钟扳回一城，亚当-约翰逊传球，寄诚庸25码处劲射被米格诺莱勉强扑出，贾凯里尼10码处补射入网，1-2
52'射门!!!桑德兰球员寄诚庸大禁区外右脚射门,被对方守门员横身扑出.给他传球的是约翰逊.                   52'桑德兰第52分钟扳回一城，亚当-约翰逊传球，寄诚庸25码处劲射被米格诺莱勉强扑出，贾凯里尼10码处补射入网，1-2
52'进球啦！！！桑德兰球员贾凯里尼大禁区中央左脚射门,球从右下角飞进球门,球进了! 桑德兰 1-2 利物浦.                   52'桑德兰第52分钟扳回一城，亚当-约翰逊传球，寄诚庸25码处劲射被米格诺莱勉强扑出，贾凯里尼10码处补射入网，1-2
54'射门!!!桑德兰球员加德纳大禁区外右脚射门,被对方守门员横身扑出.                   52'桑德兰第52分钟扳回一城，亚当-约翰逊传球，寄诚庸25码处劲射被米格诺莱勉强扑出，贾凯里尼10码处补射入网，1-2
54'米尼奥莱将球处理出底线,桑德兰获得角球.                   52'桑德兰第52分钟扳回一城，亚当-约翰逊传球，寄诚庸25码处劲射被米格诺莱勉强扑出，贾凯里尼10码处补射入网，1-2
59'阿尔蒂多尔为桑德兰在左路,赢得一个任意球.                   59'第59分钟，贾凯里尼对斯科特尔犯规被罚黄牌
59'利物浦球员斯科特尔拼抢犯规,对手获得控球权.                   59'第59分钟，贾凯里尼对斯科特尔犯规被罚黄牌
59'桑德兰球员贾凯里尼拼抢犯规,对手获得控球权.                   59'第59分钟，贾凯里尼对斯科特尔犯规被罚黄牌
59'斯科特尔为利物浦在左路,赢得一个任意球.                   59'第59分钟，贾凯里尼对斯科特尔犯规被罚黄牌
59'黄牌！桑德兰球员贾凯里尼因为恶意犯规,被主裁判出示黄牌.                   59'第59分钟，贾凯里尼对斯科特尔犯规被罚黄牌
62'射门!!!桑德兰球员阿尔蒂多尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是S-拉尔森.                   59'第59分钟，贾凯里尼对斯科特尔犯规被罚黄牌
66'射门!!!利物浦球员摩西大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是何塞-恩里克.                   66'第66分钟，恩里克传球，摩西禁区左侧边缘内劲射偏转后被韦斯特伍德拍出横梁
67'韦斯特伍德将球处理出底线,利物浦获得角球.                   66'第66分钟，恩里克传球，摩西禁区左侧边缘内劲射偏转后被韦斯特伍德拍出横梁
69'阿尔蒂多尔为桑德兰在左路,赢得一个任意球.                   66'第66分钟，恩里克传球，摩西禁区左侧边缘内劲射偏转后被韦斯特伍德拍出横梁
69'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   66'第66分钟，恩里克传球，摩西禁区左侧边缘内劲射偏转后被韦斯特伍德拍出横梁
69'斯科特尔将球处理出底线,桑德兰获得角球.                   66'第66分钟，恩里克传球，摩西禁区左侧边缘内劲射偏转后被韦斯特伍德拍出横梁
78'射门!!!利物浦球员科洛-图雷大禁区外右脚射门,被对方守门员横身扑出.                   78'第78分钟，图雷右路25码处劲射被韦斯特伍德扑出底线
78'韦斯特伍德将球处理出底线,利物浦获得角球.                   78'第78分钟，图雷右路25码处劲射被韦斯特伍德扑出底线
80'桑德兰球员科尔巴克拼抢犯规,对手获得控球权.                   78'第78分钟，图雷右路25码处劲射被韦斯特伍德扑出底线
80'斯特林为利物浦在对方半场,赢得一个任意球.                   78'第78分钟，图雷右路25码处劲射被韦斯特伍德扑出底线
80'黄牌！桑德兰球员科尔巴克因为恶意犯规,被主裁判出示黄牌.                   78'第78分钟，图雷右路25码处劲射被韦斯特伍德扑出底线
89'进球啦！！！利物浦球员苏亚雷斯大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是斯图里奇. 桑德兰 1-3 利物浦.                   89'利物浦第89分钟再度拉开差距，苏亚雷斯反击中斜传，斯图里奇禁区左侧底线附近回传，苏亚雷斯8码处扫射破门，3-1
90'桑德兰球员贾凯里尼大禁区外尝试左脚射门,可惜皮球偏出球门.                   89'利物浦第89分钟再度拉开差距，苏亚雷斯反击中斜传，斯图里奇禁区左侧底线附近回传，苏亚雷斯8码处扫射破门，3-1
90'+2'亨德森将球处理出底线,桑德兰获得角球.                   89'利物浦第89分钟再度拉开差距，苏亚雷斯反击中斜传，斯图里奇禁区左侧底线附近回传，苏亚雷斯8码处扫射破门，3-1
90'+2'桑德兰球员约翰逊大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是加德纳.                   89'利物浦第89分钟再度拉开差距，苏亚雷斯反击中斜传，斯图里奇禁区左侧底线附近回传，苏亚雷斯8码处扫射破门，3-1
90'+4'下半场结束,桑德兰 1-3 利物浦                   89'利物浦第89分钟再度拉开差距，苏亚雷斯反击中斜传，斯图里奇禁区左侧底线附近回传，苏亚雷斯8码处扫射破门，3-1
