4'阿邦拉霍停球回敲给到维曼                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
24'现场的雨越下越大啊                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
24'切尔西的进攻再次获得右边路的任意球机会                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
24'马塔任意球开到前点，被维拉球员解围出底线                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
25'切尔西右侧角球机会，没能形成威胁                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
26'IloVeCoBibrYANt:希望托雷斯替补上场（期待中）                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
26'阿扎尔前场拿球，斜传分边给左路上来的科尔                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
26'科尔禁区角上拿球低平球，被后卫伸腿挡出边线                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
41'维拉前场右边路的传中，特里俯身将球解围出底线                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
41'韦斯特伍德的角球开出到后点，阿邦拉霍的攻门被后卫挡出                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
41'维拉球员示意切尔西球员有手球                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
41'慢镜头回放显示，阿邦拉霍的头球攻门打在卡希尔的左侧肩膀上弹出，并非手球                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
42'拉米雷斯中场失误，塞拉的抢断                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
42'塞拉拿球反击，特里回防，没办法啊，只能伸腿绊倒了塞拉                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
43'特里被主裁判出示了黄牌警告                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
43'维拉任意球吊到禁区，阿兹皮里库塔头球解围出边线                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
43'本特克禁区内背身拿球，横传给跟上的德尔菲                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
44'德尔菲右侧拿球，挑传后点，力量稍大，队友没能拿到                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
44'马塔的中场过顶球到禁区，古赞出击在登巴巴之前将球揽入怀中                   41'第41分钟，巴克禁区左侧头球攻门被卡希尔封堵，维拉球员投诉他手球犯规，但裁判李-梅森拒绝判罚
45'拉米雷斯右边路防守中放倒了阿邦拉霍                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
45'拉米雷斯这次蹬踏抬脚过高啦                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
46'拉米雷斯被主裁判再出黄牌，两黄变一红，下场度假啦                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
46'上半场比赛补时2分钟                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
46'阿扎尔中场拿球，直传给到马塔                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
47'马塔拿球转身，斜传到后卫身后，古赞出来，在登巴巴之前将球没收                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
47'特里左边路的防守中有个铁砂掌，直接手掌按在了德尔菲脸上，犯规                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
47'维拉的右边路任意球，斜传球到禁区                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
47'切赫出击，到了左侧边线，面对逼抢赶紧将球解围出边线                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
46'下半场比赛开始，维拉开球                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
46'切尔西下半场做出人员调整                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
46'路易斯换下摩西                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
47'切尔西前场失误，阿邦拉霍的拿球反击                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
47'阿邦拉霍单骑闯关，后场带球一路狂奔到了禁区                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
47'面对卡希尔的防守，小禁区左侧的低射，被卡希尔伸腿挡出底线                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
47'维拉的左侧角球机会，并没形成威胁                   45'切尔西第45分钟遭遇打击，拉米雷斯对阿邦拉霍高抬腿的危险犯规动作累计两张黄牌被罚下场
47'马塔拿球转身，斜传到后卫身后，古赞出来，在登巴巴之前将球没收                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
47'特里左边路的防守中有个铁砂掌，直接手掌按在了德尔菲脸上，犯规                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
47'维拉的右边路任意球，斜传球到禁区                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
47'切赫出击，到了左侧边线，面对逼抢赶紧将球解围出边线                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
47'切尔西前场失误，阿邦拉霍的拿球反击                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
47'阿邦拉霍单骑闯关，后场带球一路狂奔到了禁区                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
47'面对卡希尔的防守，小禁区左侧的低射，被卡希尔伸腿挡出底线                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
47'维拉的左侧角球机会，并没形成威胁                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
49'维拉左路的进攻，塞拉拿球直塞，力量稍大，出了边线                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
49'路易斯后场的长传过顶到对方禁区弧顶                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
49'第一点被维拉球员解围                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
50'切尔西现在前场留下登巴巴，其他人全部回收后场防守了                   47'第47分钟，阿邦拉霍强突禁区左侧的射门被卡希尔飞铲封堵挡出
55'路易斯在直传给阿扎尔，可惜没有了反击的机会                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
55'切尔西中场的传球失误，本特克拿球                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
55'本特克禁区弧顶分边左路给阿邦拉霍                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
55'阿邦拉霍背身拿球，接着回敲给到贝内特                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
55'贝内特的迎球怒射，打远角，打在后卫身上出底线                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
56'维拉获得右侧角球机会，没什么威胁                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
57'贝内特左路拿球，直塞给到阿邦拉霍                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
57'阿邦拉霍拿球底线内切，自己趟球过大，被切尔西球员抢断                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
57'兰帕德中路的直传给到登巴巴                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
57'登巴巴背身停球，转身横传又失误啦                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
58'上一次切尔西客场半场落后，最终逆转取胜，追朔到2009年对阵桑德兰                   55'第55分钟，阿邦拉霍回敲，乔-班尼特禁区左侧的射门被阿斯皮利奎塔挡偏出远角
58'上一次切尔西客场半场落后，最终逆转取胜，追朔到2009年对阵桑德兰                   58'维拉第58分钟也遭遇同样打击，本特克高抬腿踢到特里也累计两张黄牌下场
59'本特克前场争顶时直接抬起右脚踹到了特里的胸部                   58'维拉第58分钟也遭遇同样打击，本特克高抬腿踢到特里也累计两张黄牌下场
59'本特克被主裁判再次出示黄牌，两黄变一红，随拉米雷斯度假啦                   58'维拉第58分钟也遭遇同样打击，本特克高抬腿踢到特里也累计两张黄牌下场
60'特里在经过短暂的处理后，并接受贝尼特斯的面授机宜之后，登场比赛啦                   58'维拉第58分钟也遭遇同样打击，本特克高抬腿踢到特里也累计两张黄牌下场
61'兰帕德！！！！                   58'维拉第58分钟也遭遇同样打击，本特克高抬腿踢到特里也累计两张黄牌下场
61'蓝军生涯打进202球，平了坦布林，队史第一人啊                   58'维拉第58分钟也遭遇同样打击，本特克高抬腿踢到特里也累计两张黄牌下场
67'维拉的右路进攻，巴克尔的横传球，被科尔伸腿一挡，差点乌龙啊                   67'第67分钟，里查伊禁区右侧传中，阿什利-科尔前点的解围险些自摆乌龙
68'好在打的比较高，球直接停在了网顶                   67'第67分钟，里查伊禁区右侧传中，阿什利-科尔前点的解围险些自摆乌龙
68'维拉的角球机会，没什么威胁                   67'第67分钟，里查伊禁区右侧传中，阿什利-科尔前点的解围险些自摆乌龙
68'维拉的右路进攻，塞拉斜塞禁区                   67'第67分钟，里查伊禁区右侧传中，阿什利-科尔前点的解围险些自摆乌龙
69'维曼背身停球，接着的转身一脚打门，踢高啦                   67'第67分钟，里查伊禁区右侧传中，阿什利-科尔前点的解围险些自摆乌龙
70'切尔西主席和CEO双双来伯明翰督战，足已看出本场比赛的重要性啊                   67'第67分钟，里查伊禁区右侧传中，阿什利-科尔前点的解围险些自摆乌龙
70'维曼禁区线上拿球，绕了一圈挑传门前，特里将球解围                   67'第67分钟，里查伊禁区右侧传中，阿什利-科尔前点的解围险些自摆乌龙
72'阿扎尔右边路拿球，大范围转移球到左前场找马塔                   72'第72分钟，卡希尔角球混战中射门打中巴克偏转后却被斯拉在门线前挡下，但登巴-巴随即补射又被封堵，电视回放显示皮球已明显越过门线，裁判却并未做出正确判罚
72'马塔停球有点大，自己拿球，低平球传中，被后卫挡出底线                   72'第72分钟，卡希尔角球混战中射门打中巴克偏转后却被斯拉在门线前挡下，但登巴-巴随即补射又被封堵，电视回放显示皮球已明显越过门线，裁判却并未做出正确判罚
73'切尔西夺得角球机会，第一点被维拉球员解围                   72'第72分钟，卡希尔角球混战中射门打中巴克偏转后却被斯拉在门线前挡下，但登巴-巴随即补射又被封堵，电视回放显示皮球已明显越过门线，裁判却并未做出正确判罚
73'切尔西球员再得球传中，卡希尔胸部停球，倒地的铲射，球在门线上被后卫解围                   72'第72分钟，卡希尔角球混战中射门打中巴克偏转后却被斯拉在门线前挡下，但登巴-巴随即补射又被封堵，电视回放显示皮球已明显越过门线，裁判却并未做出正确判罚
74'慢镜头回放显示，卡希尔铲射时球已经大半个过了球门线！！！！                   72'第72分钟，卡希尔角球混战中射门打中巴克偏转后却被斯拉在门线前挡下，但登巴-巴随即补射又被封堵，电视回放显示皮球已明显越过门线，裁判却并未做出正确判罚
74'特里刚刚在争顶时还被撞倒在地                   72'第72分钟，卡希尔角球混战中射门打中巴克偏转后却被斯拉在门线前挡下，但登巴-巴随即补射又被封堵，电视回放显示皮球已明显越过门线，裁判却并未做出正确判罚
75'刚刚的那个争议进球，继续回看中，卡希尔铲射被后卫在球门线上解围，但登巴巴的补射，球全部越过了门线，误判啊                   72'第72分钟，卡希尔角球混战中射门打中巴克偏转后却被斯拉在门线前挡下，但登巴-巴随即补射又被封堵，电视回放显示皮球已明显越过门线，裁判却并未做出正确判罚
78'马塔前场右路拿球，横带中直接起左脚打门被后卫挡出                   78'第78分钟，阿斯皮利奎塔传中，兰帕德头球攻门偏出
78'阿兹皮里库塔的边路传中，兰帕德头球攻门，顶高                   78'第78分钟，阿斯皮利奎塔传中，兰帕德头球攻门偏出
79'全场比赛79分钟了，比分还是1-1                   78'第78分钟，阿斯皮利奎塔传中，兰帕德头球攻门偏出
80'阿扎尔前场拿球，贝内特上抢犯规                   78'第78分钟，阿斯皮利奎塔传中，兰帕德头球攻门偏出
80'切尔西获得前场的任意球机会                   78'第78分钟，阿斯皮利奎塔传中，兰帕德头球攻门偏出
80'马塔和路易斯站在球前，看看谁来罚                   78'第78分钟，阿斯皮利奎塔传中，兰帕德头球攻门偏出
80'马塔的任意球直接攻门，打近角，擦着右侧立柱出底线                   78'第78分钟，阿斯皮利奎塔传中，兰帕德头球攻门偏出
81'维拉开始后场倒脚了，寻求进攻的机会                   78'第78分钟，阿斯皮利奎塔传中，兰帕德头球攻门偏出
83'路易斯的任意球直接攻门，古赞出击双拳将球打出                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
84'切尔西右边路的传中，第一点被后卫解围                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
84'阿扎尔再次吊球到禁区，巴克尔在登巴巴之前将球解围出底线                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
84'切尔西右侧角球机会，没什么威胁                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
85'维拉的反击，兰帕德防守中放倒了维曼                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
85'兰帕德被主裁判出示了黄牌警告                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
85'维拉前场任意球斜传禁区，混战中，切尔西后卫将球解围                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
85'阿兹皮里库塔右路拿球，面对贝内特的防守横传                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
86'被贝内特伸腿挡出，兰帕德跟上得球                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
86'兰帕德禁区外的远射，打在后卫腿上折射，可惜没有队友跟上啊                   83'第83分钟，阿扎尔突破再造定位球机会，路易斯30码处任意球直接射门被古赞扑出
87'维拉的进攻，禁区内的冷射，切赫将球扑出                   87'第87分钟，德尔夫传球，韦斯特伍德禁区弧边缘劲射被切赫扑出
87'这次扑救相当关键啊，打门的是韦斯特伍德                   87'第87分钟，德尔夫传球，韦斯特伍德禁区弧边缘劲射被切赫扑出
88'切尔西换人：托雷斯换下登巴巴                   87'第87分钟，德尔夫传球，韦斯特伍德禁区弧边缘劲射被切赫扑出
88'进球了，兰帕德梅开二度！！！                   87'第87分钟，德尔夫传球，韦斯特伍德禁区弧边缘劲射被切赫扑出
89'神灯为蓝军打进203球，超越坦布林，独居队史第一位                   87'第87分钟，德尔夫传球，韦斯特伍德禁区弧边缘劲射被切赫扑出
89'阿扎尔左路拿球，和队友的踢墙配合，接着底线拿球横传门前，兰帕德中路跟上推射打进                   87'第87分钟，德尔夫传球，韦斯特伍德禁区弧边缘劲射被切赫扑出
90'兰帕德进球改写纪录，现场的蓝军球迷也是激动万分，进场围着神灯庆祝，被安保拉离场地                   87'第87分钟，德尔夫传球，韦斯特伍德禁区弧边缘劲射被切赫扑出
90'比赛已经进入补时阶段啦                   87'第87分钟，德尔夫传球，韦斯特伍德禁区弧边缘劲射被切赫扑出
88'切尔西换人：托雷斯换下登巴巴                   88'切尔西第88分钟反超比分，阿扎尔禁区左侧传中，兰帕德近距离捅射破门，2-1
88'进球了，兰帕德梅开二度！！！                   88'切尔西第88分钟反超比分，阿扎尔禁区左侧传中，兰帕德近距离捅射破门，2-1
89'神灯为蓝军打进203球，超越坦布林，独居队史第一位                   88'切尔西第88分钟反超比分，阿扎尔禁区左侧传中，兰帕德近距离捅射破门，2-1
89'阿扎尔左路拿球，和队友的踢墙配合，接着底线拿球横传门前，兰帕德中路跟上推射打进                   88'切尔西第88分钟反超比分，阿扎尔禁区左侧传中，兰帕德近距离捅射破门，2-1
90'兰帕德进球改写纪录，现场的蓝军球迷也是激动万分，进场围着神灯庆祝，被安保拉离场地                   88'切尔西第88分钟反超比分，阿扎尔禁区左侧传中，兰帕德近距离捅射破门，2-1
90'比赛已经进入补时阶段啦                   88'切尔西第88分钟反超比分，阿扎尔禁区左侧传中，兰帕德近距离捅射破门，2-1
91'下半场比赛补时7分钟！！！                   88'切尔西第88分钟反超比分，阿扎尔禁区左侧传中，兰帕德近距离捅射破门，2-1
91'特里的受伤耽误了不少时间，合力的                   88'切尔西第88分钟反超比分，阿扎尔禁区左侧传中，兰帕德近距离捅射破门，2-1
91'维拉的左路进攻，阿兹皮里库塔将球解围出边线                   88'切尔西第88分钟反超比分，阿扎尔禁区左侧传中，兰帕德近距离捅射破门，2-1
52'路易斯将球交给兰帕德，兰帕德过度阿扎尔                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
52'阿扎尔停球过度，被维拉球员抢断                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
52'本特克拿球，禁区外的一脚远射，放了高射炮                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
53'维拉的中场抢断，阿邦拉霍拿球反击                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
53'阿邦拉霍面对切尔西三名防守球员，过掉阿兹皮里库塔                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
53'禁区直接起脚打门，打飞啦                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
53'路易斯前场左路拿球，塞拉的上抢带倒了路易斯，犯规                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
54'路易斯任意球直接传给了维拉球员                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
54'切尔西后场抢断，马塔拿球，分边给到左路上来的路易斯                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
55'路易斯在直传给阿扎尔，可惜没有了反击的机会                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
55'切尔西中场的传球失误，本特克拿球                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
55'本特克禁区弧顶分边左路给阿邦拉霍                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
55'阿邦拉霍背身拿球，接着回敲给到贝内特                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
55'贝内特的迎球怒射，打远角，打在后卫身上出底线                   52'伤停补时长达7分钟，第95分钟，路易斯30码处任意球远射偏出
