1'比赛开始了，国安开球                   1'第1分钟国安迅速展开积极前压
15'这球索里亚诺实在可惜，必进的啊。张稀哲超牛的一次横敲，非常到位                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
16'巴顿右侧拿球突破下底                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
16'右路强行起球传中，被挡出边线                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
16'这球是出了底线，不是边线                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
16'右侧角球，开起来吊入小禁区                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
16'又是黑又硬阿萨尼的解围                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
17'外围拼抢，姜涛大范围给到后场的杨智                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
23'给的不好，直接传出底线                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
23'杨智右路给到拉尔夫，在给身后雷腾龙                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
23'右侧找朴成，和同伴做配合，在往中间给                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
23'张稀哲抡起一脚，爆杆。。。                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
24'球直窜大门，被石笑天奋勇扑出                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
24'禁区内左侧索里亚诺第二点拿到，下底低球传中，被后卫挡出底线                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
24'这球是直接传出了底线啊。。我这眼神。。。是门球，不是角球                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
24'石笑天门球大脚直接开出边线                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
25'左侧界外球给赵和靖，回敲杨智，大脚开起来                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
25'前场左侧找奥古斯托，斜传，视野，脚法，都到位                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
25'右路姜涛上来，横敲中间                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
25'索里亚诺挑入禁区，右侧巴顿插上，头球一摆                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
25'小禁区前沿又是阿萨尼的解围                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
26'外围拼抢，国安队又是大范围的吊入禁区                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
26'石笑天出击，双龙出海再次击出                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
26'胡延强外围拼抢被对方在身后推倒                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
26'后场定位球，大力开起来                   23'第23分钟，张稀哲中路劲射颇具威胁，辽足门将石笑天飞身将球扑出
35'国安定位球中路给到奥古斯托                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
35'奥古斯托又是抡起一脚爆射，势大力沉，石笑天倒地挡出底线                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
35'今天奥古斯托非常卖力啊                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
35'右侧角球，开起来，吊入禁区                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
35'贝卡曼加解围出来                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
35'李家赫边路和同伴撞墙配合，又是被吹了越位                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
36'姜涛右路拿球推进，直塞被杨宇挡出边线                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
36'界外球给到朴成，斜传给到小禁区内                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
36'左侧赵和靖前插，停球太大，被阿萨尼解围                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
36'今天国安两个边后卫进攻非常凶                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
36'张稀哲外围控制，在给到禁区前沿                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
37'巴顿得球，外围突然来一脚，贴地箭，但威胁不大                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
37'石笑天倒地没收                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
37'大脚开起来                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
37'前场右侧胡延强单枪匹马，冲起来，下底横敲，没找到贝卡曼加                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
37'国安进攻，中路奥古斯托拿球，低传到禁区内                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
38'张稀哲得球，再分左侧索里亚诺，打门，有了                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
38'张稀哲送助攻，索9破门                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
38'奥古斯托和巴顿的配合，巴顿左侧送到禁区内，张稀哲轻拨，索里亚诺禁区内左侧推射右上角得手                   35'第35分钟，奥古斯托快发任意球斜传辽足禁区，赵和靖趟球稍大错过良机；辽足迅速由胡延强策动快攻，姜涛及时回位抢在贝卡曼加之前将球破坏
41'最后还是索里亚诺主罚，助跑一步，右脚兜射，蹭到人墙飞出了底线                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
41'左侧角球，奥古斯托处罚                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
41'吊起来到了禁区内，石笑天单拳击出                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
41'巴顿外围抡射，被杨帅挡出底线                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
41'右侧国安战术角球                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
42'禁区右侧索里亚诺，搓起来到禁区                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
42'找到后点，雷腾龙跟上，铲射，击中立柱弹出底线                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
42'但是边裁举旗了，雷腾龙铲射时候越位                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
42'辽宁后场定位球开起来                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
42'中圈附近的拼抢，拉尔夫头球顶给左侧张稀哲                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
42'带球往前冲杀，急停，横敲禁区弧顶                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
43'双方拼抢，又是被赶来的张稀哲断掉                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
43'在给到禁区内，索里亚诺左脚射门被阿萨尼飞身奋力挡出底线                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
43'左侧角球，奥古斯托开起来，又是石笑天击出                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
44'外围胡延强拿球，起步，加速。。                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
44'速度很快，于洋一个飞身铲抢犯规了                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
44'这球裁判没给黄牌纯属手下留情了啊                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
44'定位球开起来，巴顿后场拦截                   41'第41分钟，索里亚诺内切中扫传门前，皮球碰辽足球员稍有折线，包抄至后门柱的雷腾龙稍稍错过落点
52'石笑天大脚开起来                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
52'奥古斯托中路给拉尔夫，快速推进                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
52'直塞向前被杨宇拦截                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
52'右侧给贝卡曼加，低传向前                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
52'右路胡延强拿球，试图突破，被雷腾龙铲翻在地                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
52'雷腾龙吃到了黄牌                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
53'辽宁禁区外围右侧定位球，桑一非主罚                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
53'辽宁处于劣势，所以更需要靠这样的定位球机会                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
53'桑一非搓起来，到禁区内，前点于洋头球顶出                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
53'外围赵和靖得球，长驱直入，自己杀反击                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
54'带到前场右路，被张野破坏出边线                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
54'界外球到后面给雷腾龙，挑传向前，被阿萨尼挡出                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
55'奥古斯托前场抢断，右侧在给姜涛                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
55'观察一下，回敲身后拉尔夫                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
55'大范围转移，直接送出边线                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
55'辽宁界外球给出，直接是被张稀哲没收                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
55'张稀哲拿球向前，分边赵和靖                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
55'横敲禁区前沿被桑一非拦截                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
55'在给右侧，胡延强拿球被张稀哲放倒                   52'第52分钟，辽足快攻中胡延强在右路切入，被突破的雷腾龙放铲犯规领到黄牌
46'胡延强今天够拼的，多次被对方放倒                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
46'上半场补时1分钟                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
46'奥古斯托中路拿球，斜传左侧给巴顿                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
46'横敲中间张稀哲，隐蔽的低球直塞                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
46'禁区内左侧朴成插入，低射被后卫挡出                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
47'王竞哨响，上半场结束                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
46'裁判哨响，下半场开始，辽宁开球                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
46'乌贾给到后面阿萨尼，斜传到右侧，胡延强停球出边线                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
46'辽宁下半场是2个黑又硬顶在前面，加强进攻                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
47'国安界外球给到朴成，左侧分给巴顿                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
47'转移球给的比较大，直接出了边线                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
47'辽宁右侧交给胡延强，回敲被巴顿拦截                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
47'巴顿快速的反击，带到禁区前沿                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
48'右侧交给奥古斯托，奥古斯托抓住空当，起脚怒射，直奔上角                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
48'石笑天飞身，一记拨云见日，把球扑出底线                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
48'右侧角球，奥古斯托低球送到禁区前沿                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
48'阿萨尼解围出来，拉尔夫外围在给雷腾龙                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
49'右侧拿球，斜传中间张稀哲                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
49'在给身边奥古斯托，送斜线                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
49'搓到小禁区右侧，姜涛跟进，凌空垫射，没踢上。。球飞出底线                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
49'这球还是差了一步啊                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
49'石笑天大脚开起来                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
49'拉尔夫后场把球控制，右侧在给朴成                   46'1分钟后国安扩大比分：奥古斯托在禁区前横向带球中突然起脚，皮球直飞入球门后角
64'右侧姜涛把球控制，大范围的斜传吊向禁区                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
64'禁区内左侧索里亚诺倒三角回敲                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
64'张稀哲跟上，禁区内被杨帅放倒了                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
65'点球，张稀哲禁区内接应，连停带过迫使对方犯规                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
65'张稀哲主罚，右脚推射轻松打入右下角，完全骗过石笑天                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
66'国安非常轻松啊，胜负基本已定了，辽宁现在却的是士气啊。输球实在太多了，后防成筛子，没记错的话赛季已经丢53球了                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
66'国安后场拿球，雷腾龙长传直接送出边线                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
67'辽宁界外球抛出，张稀哲逼抢犯规                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
67'前场右侧定位球，交给杨宇，向前给到桑一非                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
67'左侧起球，砸入禁区，雷腾龙头球顶出                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
67'外围拉尔夫拿球，向前挑传找索里亚诺                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
67'边裁举旗，越位在先了                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
67'辽宁换人，倪玉崧替下杨宇                   64'第64分钟，国安将比分扩大为3-0：索里亚诺禁区左侧传球，张稀哲得球突破时被放倒，裁判果断判定点球，张稀哲操刀破门，收获个人本赛季第2粒入球
74'强行起球传中，于洋把球挡出底线                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
74'右侧角球，桑一非开起来                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
74'吊向禁区前点，于洋头球顶出                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
74'外围朴成拿球，左侧分边给插上的赵和靖                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
74'带球推进，观察一下，横敲转移到右侧                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
75'姜涛跟上，右路弧线球给进来                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
75'前点奥古斯托插上没碰到，弹地之后到小禁区内中路，朴成                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
75'朴成小禁区内无人盯防，凌空垫射居然打飞，，，这球，，比单刀球都容易，哈哈                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
76'朴成自己也不好意思，掩面倒地                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
76'张稀哲中路拿球，身前送斜传                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
76'禁区内右侧张野清理出底线                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
76'右侧角球，奥古斯托主罚，弧线传中                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
76'禁区前沿乌贾头球顶出                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
76'乌贾下半场替补上来，丝毫没有获得表现机会，拿不到球啊                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
77'后点胡延强再次把球清理出底线                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
77'左侧角球，国安搓起来，这球力量太大了，直接给出了另外一侧边线                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
77'辽宁界外球给出来                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
77'双方中场附近肉搏，朴成倒地，裁判哨音没响                   74'第74分钟，国安再次打出精彩攻势，右边后卫姜涛斜传辽足禁区，左边后卫赵和靖插至禁区右侧用脚后跟垫传中路，朴成近距离施射打飞
90'国安中路给到金泰延                   90'第90分钟，奥古斯托传球策动攻势，赵和靖强突禁区，在刘尚坤的持续接触中摔倒在地，裁判没有理会
90'快速推进向前，低传向前给到禁区内                   90'第90分钟，奥古斯托传球策动攻势，赵和靖强突禁区，在刘尚坤的持续接触中摔倒在地，裁判没有理会
90'阿萨尼破坏出来                   90'第90分钟，奥古斯托传球策动攻势，赵和靖强突禁区，在刘尚坤的持续接触中摔倒在地，裁判没有理会
90'外围拉尔夫控球，斜传右路在给金泰延                   90'第90分钟，奥古斯托传球策动攻势，赵和靖强突禁区，在刘尚坤的持续接触中摔倒在地，裁判没有理会
90'回敲给到后面                   90'第90分钟，奥古斯托传球策动攻势，赵和靖强突禁区，在刘尚坤的持续接触中摔倒在地，裁判没有理会
91'国安逐步的推进，渗透短传，中路给到张稀哲                   90'第90分钟，奥古斯托传球策动攻势，赵和靖强突禁区，在刘尚坤的持续接触中摔倒在地，裁判没有理会
91'禁区外围遭遇逼抢，在分边                   90'第90分钟，奥古斯托传球策动攻势，赵和靖强突禁区，在刘尚坤的持续接触中摔倒在地，裁判没有理会
