1'主裁判凯文-弗兰德哨响，比赛开始了，作客的米堡率先开球                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
51'曼城前场的传递被断，特劳雷自己带球展开反击                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
52'阿圭罗铲抢犯规                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
52'米堡长传给到左侧，唐宁停球下来，被萨巴莱塔挡出边线                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
52'米堡回敲到后场，弗兰德在给钱伯斯，回敲门将                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
53'大脚开出来，，克莱顿中场飞身铲翻了席尔瓦吃到黄牌                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
53'席尔瓦左侧拿球，给京多安，回敲斯通斯，在给克里希                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
53'大范围转移到右侧，萨巴莱塔在给丁丁，回敲费尔南迪尼奥                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
85'阿圭罗错失锁定胜局的机会啊                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
85'曼城反击过来，米堡有点脱节，丁丁带球杀到禁区前，右侧交给纳瓦斯                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
85'纳瓦斯准确的低球推给点球点的阿圭罗，阿圭罗停球下来，推射打高了                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
86'这球3米之内无人防守，自己停球下来球有个弹地，结果推射部位没吃准                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
86'加西亚替下了跑车纳瓦斯                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
87'巴拉甘右路防守把球挡出边线                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
87'克里希界外球给出，中路在找阿圭罗                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
87'福肖防守到位把球断下，阿圭罗反抢犯规                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
88'阿圭罗和对方有点小摩擦，主裁给了阿圭罗一张黄牌                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
88'用户1786173947 我对米到是堡有信心会进球的（米堡进攻实在差劲啊）                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
88'飞船01  今天200挣到手里了，睡觉（比赛没结束哦）                   85'曼城第85分钟错过机会，纳瓦斯右路低传，无人防守的阿圭罗12码处停球后垫射高出
91'弗兰德斜传到了禁区内，德隆跟上冲顶破门了                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
91'米堡补时第一分钟，绝杀扳平                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
92'弗兰德助攻，传中质量非常高，到了后点越过克里希头顶，德隆埋伏在后面，大力头槌，布拉沃挡了一下，还是进了                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
92'这头球势大力沉，距离太近，，米堡整场被动，最后时刻扳平                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
92'曼城很可能要丢掉榜首的位置了                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
93'刚刚说200到手，准备睡觉的那哥们呢，，是不是要哭啦哈                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
93'镜头给到了瓜帅，，一脸茫然啊，什么球这是                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
93'米堡的球员现在也不着急了，界外球慢慢发                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
94'前场斯图尼亚拼抢犯规了                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
94'曼城右侧进攻，给到萨巴莱塔                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
94'萨巴莱塔边路在传被挡出去                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
94'界外球给到中间，搓入禁区，伊赫纳乔头球一蹭                   91'米堡第91分钟扳平，特劳雷突破分球，弗兰德左路传中，德隆小禁区边缘力压克里希头球破门，1-1
