1'比赛开始了，利物浦开球                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
25'米尼奥莱扑出底线                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
25'这球还是门球，米尼奥莱是扑到德林克沃特身上，弹出底线的                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
25'门球，大脚开起来                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
25'中路拼抢，切尔西控制下来                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
25'右侧分边给萨帕科斯塔                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
26'杀到禁区前沿，右侧张弓搭箭，，怒射                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
26'米尼奥莱双手一脱，挡出底线                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
26'右侧切尔西角球                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
26'开起来，禁区中路拼抢，乱战                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
26'卡希尔左侧做球给身后                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
26'阿扎尔跟上，怒射，被防守队员挡出                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
65'发起反击，左侧身前找阿扎尔                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
65'戈麦斯把球破坏                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
65'中圈后沿，亨德森得球，右侧分戈麦斯                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
65'在回敲给中路马蒂普，左侧转给库蒂尼奥                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
65'在大范围给到右侧亨德森                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
65'中路回敲马蒂普，身前左侧给莫雷诺                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
65'直塞向前坎特把球拦截                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
66'右侧在给萨帕科斯塔，回敲阿紫                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
66'挑传向前                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
66'库蒂尼奥把球拦截，身边给到萨拉赫                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
66'和同伴一个撞墙的配合                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
66'点球点附近萨拉赫包抄跟上，右脚低射                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
66'有了，，，球进了                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
67'萨拉赫进球了，本赛季第八球                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
67'萨拉赫和库蒂尼奥的撞墙配合，点球点附近萨拉赫右脚跟上，推射破网                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
67'面对老东家，萨拉赫进球之后没有任何庆祝，重情重义啊                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
68'维纳尔杜姆替下了斯图里奇                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
68'克拉万后场拿球，横向转移                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
68'右侧戈麦斯，身前再分球                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
68'坎特把球拦截下来                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
68'坎特转移，右侧找到萨帕科斯塔，向前放一记长传                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
68'给大了，左侧阿隆索把球拦截                   65'利物浦第65分钟打破僵局，巴卡约科拦截解围失误，张伯伦捅传，萨拉赫10码处低射右下角入网
82'中圈附近阿隆索得球，回敲身后                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
82'左侧卡希尔拿球，在给到前场右侧                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
82'萨帕科斯塔挑传，小禁区前沿被解围                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
82'外围中路阿扎尔拿球，长传转移，右侧给到萨帕科斯塔                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
82'45度起球，传中，，禁区左侧阿隆索包抄                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
82'阿隆索的推射，，打飞了                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
83'切尔西这边继续调整，威廉替下了萨帕科斯塔                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
83'算上补时比赛大概还有10分钟                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
83'米尼奥莱身前右侧给到戈麦斯                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
83'斜传到中路被坎特拦截                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
83'亨德森反抢回来，回敲身后门将                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
83'米尼奥莱大脚开起来                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
83'前场右侧争顶高空球，阿隆索顶出边线                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
83'右侧利物浦边线球                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
84'切尔西旧将德布劳内、萨拉赫都有进球，卢卡库差点意思（那个个进球，切尔西多扎心）                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
84'切尔西后场断球，中路小法拿球                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
85'右侧分阿紫，在给到身前小法                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
85'转移左侧交给阿扎尔，回敲中路                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
85'利物浦前场高位紧逼，切尔西只能回敲                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
85'库尔图瓦在给小法，长传向前                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
85'中路莫拉塔背身护球，在给身边阿扎尔                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
85'横敲到右侧找威廉                   82'切尔西第82分钟错过机会，扎帕科斯塔右路传中远点，无人防守的阿隆索小禁区边缘凌空垫射高出
85'右侧分阿紫，在给到身前小法                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
85'转移左侧交给阿扎尔，回敲中路                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
85'利物浦前场高位紧逼，切尔西只能回敲                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
85'库尔图瓦在给小法，长传向前                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
85'中路莫拉塔背身护球，在给身边阿扎尔                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
85'横敲到右侧找威廉                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
86'杀入禁区，右侧挑起来到门前                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
86'。。。哇塞，，球进了                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
86'威廉，，天外飞仙的传中，直接是干进了大门啊。。似传似射的一脚神仙球                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
87'尾声阶段，切尔西一个神奇进球，扳平了                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
87'禁区右肋威廉拿球，身前有防守队员的情况下，起球传中，皮球划出弧线，直入左上角                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
87'库尔图瓦长传向前                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
87'莫拉塔禁区内得球                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
88'横敲，戈麦斯挡出边线                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
88'界外球，左侧给到阿扎尔，中路再分威廉                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
88'转到右侧，阿紫。。传中送入禁区                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
88'中路头球解围                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
88'外围萨拉赫得球，反击走起                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
88'杀到了前场，一记直塞                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
88'阿紫把球解围                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
88'库尔图瓦后场大脚开起来                   85'切尔西第85分钟扳平，阿扎尔传球，威廉突入禁区右侧18码处传射吊入远角，1-1
