2'阿隆索左路拿球给到莫拉塔脚下                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
89'被库尔图瓦挡了出来                   87'曼联第87分钟险些扳平，拉什福德禁区弧内左脚凌空抽射，皮球擦左侧立柱偏出
89'曼联右路起球又是被挡出                   87'曼联第87分钟险些扳平，拉什福德禁区弧内左脚凌空抽射，皮球擦左侧立柱偏出
90'下半场补时4分钟！！                   87'曼联第87分钟险些扳平，拉什福德禁区弧内左脚凌空抽射，皮球擦左侧立柱偏出
90'下半场补时4分钟！！                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
91'曼联中场拿球给到边路                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
91'切尔西现在也是全线退防                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
91'林加德边路拿球                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
92'没有分出来                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
92'曼联这边将球转移到右路                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
92'起球送禁区                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
92'阿斯皮利奎塔头球顶出来                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
92'曼联左路拿球给到底线                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
92'马蒂奇的突破没有过去                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
92'切尔西的反击                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
92'莫拉塔这边禁区内接球                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
93'几乎是单刀啊                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
93'但是体力跟不上了                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
93'再准备突破的时候失误了                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
93'马蒂奇前场拿球被侵犯                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
93'曼联获得一个位置极佳的任意球                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
93'看看谁来主罚                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
93'拉什福德站在球前                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
93'拉什福德任意球直接打门                   90'第90分钟，拜利长传，费莱尼胸部停球后12码处扫射被库尔图瓦神勇救出
