1'上半场比赛开始了                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
51'切尔西的机会                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
52'科斯塔来到左肋部一扣传中，威廉原地发力头球攻门被肖夫科夫斯基将球抱住                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
52'这球是眼看要进了                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
52'基辅迪纳摩反击，亚尔莫连科右路传中，回到中后卫位置的马蒂奇将球踢出底线                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
60'威廉斜传门前，前点大家都漏了，后点祖马左脚打门打偏了！                   60'切尔西第60分钟错失良机，威廉右路任意球传中，祖马近距离射门滑门偏出
60'近在咫尺的射门居然打偏了                   60'切尔西第60分钟错失良机，威廉右路任意球传中，祖马近距离射门滑门偏出
61'冈萨雷斯左路传中落点很好，特里好的判断将球顶出                   60'切尔西第60分钟错失良机，威廉右路任意球传中，祖马近距离射门滑门偏出
62'基辅迪纳摩后场倒                   60'切尔西第60分钟错失良机，威廉右路任意球传中，祖马近距离射门滑门偏出
62'切尔西前场逼抢开始加强                   60'切尔西第60分钟错失良机，威廉右路任意球传中，祖马近距离射门滑门偏出
62'基辅迪纳摩过了半场，分右路的维达                   60'切尔西第60分钟错失良机，威廉右路任意球传中，祖马近距离射门滑门偏出
63'亚尔莫连科传后点，冈萨雷斯没能拿到                   60'切尔西第60分钟错失良机，威廉右路任意球传中，祖马近距离射门滑门偏出
63'迪摩赖斯背身护球转身带丢了                   60'切尔西第60分钟错失良机，威廉右路任意球传中，祖马近距离射门滑门偏出
74'亚尔莫连科斜传禁区，祖马第一点顶出底线                   74'基辅第74分钟险些扳平，维达前点接角球头球攻门稍稍偏出后角
74'亚尔莫连科的传中，前点维达一蹭，后点，迪摩赖斯接力没有跳到足够的高度                   74'基辅第74分钟险些扳平，维达前点接角球头球攻门稍稍偏出后角
76'切尔西倒是迟迟不换人                   74'基辅第74分钟险些扳平，维达前点接角球头球攻门稍稍偏出后角
76'下半场已经30分钟了                   74'基辅第74分钟险些扳平，维达前点接角球头球攻门稍稍偏出后角
76'法布雷加斯左路抹过去，横传，拉米雷斯直传给得太直了                   74'基辅第74分钟险些扳平，维达前点接角球头球攻门稍稍偏出后角
77'亚尔莫连科右路的推进，马蒂奇将球拦截出边线                   74'基辅第74分钟险些扳平，维达前点接角球头球攻门稍稍偏出后角
77'亚尔莫连科挑传禁区内有险情，特里近距离头球回传，贝戈维奇没有抓到球                   74'基辅第74分钟险些扳平，维达前点接角球头球攻门稍稍偏出后角
83'威廉任意球打出美妙的弧线直挂球门左上角！                   83'切尔西第83分钟再度领先，威廉30码处任意球直接射入左上角，2-1
83'非常漂亮的任意球直接破网                   83'切尔西第83分钟再度领先，威廉30码处任意球直接射入左上角，2-1
83'切尔西再度领先                   83'切尔西第83分钟再度领先，威廉30码处任意球直接射入左上角，2-1
84'德拉戈维奇过顶长传，给太大了，贝戈维奇将球拿住                   83'切尔西第83分钟再度领先，威廉30码处任意球直接射入左上角，2-1
85'阿扎尔左路的晃动扣过卡切里迪传中，球划门而过                   83'切尔西第83分钟再度领先，威廉30码处任意球直接射入左上角，2-1
85'佩德罗右路传给马蒂奇                   83'切尔西第83分钟再度领先，威廉30码处任意球直接射入左上角，2-1
85'阿扎尔护球，亚尔莫连科绊人犯规                   83'切尔西第83分钟再度领先，威廉30码处任意球直接射入左上角，2-1
85'切尔西左路的任意球机会                   83'切尔西第83分钟再度领先，威廉30码处任意球直接射入左上角，2-1
86'威廉低传禁区被卡切里迪解围                   83'切尔西第83分钟再度领先，威廉30码处任意球直接射入左上角，2-1
90'祖马大脚踢到中线                   90'第90分钟，马蒂奇快发任意球，阿扎尔突入禁区左侧小角度射门打在边网
90'威廉直传，阿扎尔球到了禁区左侧小角度打门打在立柱上                   90'第90分钟，马蒂奇快发任意球，阿扎尔突入禁区左侧小角度射门打在边网
92'切尔西换人，24号卡希尔换下了22号威廉！                   90'第90分钟，马蒂奇快发任意球，阿扎尔突入禁区左侧小角度射门打在边网
92'下半场补时2分钟                   90'第90分钟，马蒂奇快发任意球，阿扎尔突入禁区左侧小角度射门打在边网
92'切尔西今天两个进球都源于威廉                   90'第90分钟，马蒂奇快发任意球，阿扎尔突入禁区左侧小角度射门打在边网
92'享受全场球迷的掌声                   90'第90分钟，马蒂奇快发任意球，阿扎尔突入禁区左侧小角度射门打在边网
93'比赛继续                   90'第90分钟，马蒂奇快发任意球，阿扎尔突入禁区左侧小角度射门打在边网
93'瑞巴卡横传被佩德罗断了                   90'第90分钟，马蒂奇快发任意球，阿扎尔突入禁区左侧小角度射门打在边网
93'交给科斯塔，遭到双人包夹                   90'第90分钟，马蒂奇快发任意球，阿扎尔突入禁区左侧小角度射门打在边网
